time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.06,0.000,0.000,-1.222,9.37,0.19,0,0
0.16,0.000,0.000,-1.860,9.46,0.82,0,0
0.63,0.000,0.000,-2.313,999.00,1.28,0,0
0.66,0.000,0.000,-2.947,9.66,1.99,0,0
0.76,0.000,0.000,-2.856,9.62,2.08,0,0
0.86,0.000,0.000,-2.647,9.55,2.29,0,0
0.96,0.000,0.000,-2.469,9.49,2.46,0,0
1.06,0.000,0.000,-2.173,9.41,2.76,0,0
1.16,0.000,0.000,-1.860,9.33,3.07,0,0
1.26,0.000,0.000,-1.648,9.28,3.28,0,0
1.36,0.000,0.000,-1.339,9.21,3.59,0,0
1.46,0.000,0.000,-1.044,9.15,3.89,0,0
1.56,0.000,0.000,-0.858,9.11,4.07,0,0
1.66,0.000,0.000,-0.587,9.07,4.34,0,0
1.77,0.000,0.000,-0.391,9.04,4.54,0,0
1.86,0.000,0.000,-0.187,9.01,4.74,0,0
1.97,0.000,0.000,-0.048,8.98,4.88,0,0
2.07,0.000,0.000,0.090,8.97,5.02,0,0
2.17,0.000,0.000,0.244,8.93,5.18,0,0
2.26,0.000,0.000,0.344,8.92,5.28,0,0
2.37,0.000,0.000,0.446,8.89,5.38,0,0
2.47,0.000,0.000,0.556,8.87,5.49,0,0
2.57,0.000,0.000,0.624,8.85,5.56,0,0
2.66,0.000,0.000,0.690,8.82,5.62,0,0
2.76,0.000,0.000,0.744,8.79,5.68,0,0
2.88,0.000,0.000,0.785,8.77,5.72,0,0
2.97,0.000,0.000,0.840,8.74,5.77,0,0
3.07,0.000,0.000,0.867,8.71,5.80,0,0
3.16,0.000,0.000,0.889,8.68,5.82,0,0
3.27,0.000,0.000,0.922,8.63,5.85,0,0
3.37,0.000,0.000,0.936,8.61,5.87,0,0
3.47,0.000,0.000,0.949,8.58,5.88,0,0
3.56,0.000,0.000,0.963,8.54,5.90,0,0
3.67,0.000,0.000,0.972,8.51,5.90,0,0
3.76,0.000,0.000,0.979,8.47,5.91,0,0
3.87,0.000,0.000,0.987,8.43,5.92,0,0
3.97,0.000,0.000,0.991,8.40,5.92,0,0
4.07,0.000,0.000,0.995,8.36,5.93,0,0
4.17,0.000,0.000,0.998,8.30,5.93,0,0
4.26,0.000,0.000,0.999,8.28,5.93,0,0
4.37,0.000,0.000,1.001,8.22,5.93,0,0
4.46,0.000,0.000,1.002,8.19,5.93,0,0
4.56,0.000,0.000,1.003,8.16,5.93,0,0
4.67,0.000,0.000,1.003,8.09,5.94,0,0
4.77,0.000,0.000,1.003,8.06,5.94,0,0
4.87,0.000,0.000,1.003,8.02,5.94,0,0
4.97,0.000,0.000,1.003,7.98,5.94,0,0
5.07,0.000,0.000,1.003,7.93,5.94,0,0
5.17,0.000,0.000,1.003,7.89,5.94,0,0
5.26,0.000,0.000,1.003,7.84,5.94,0,0
5.37,0.000,0.000,1.003,7.79,5.94,0,0
5.47,0.000,0.000,1.002,7.73,5.94,0,0
5.57,0.000,0.000,1.002,7.69,5.94,0,0
5.67,0.000,0.000,1.002,7.63,5.94,0,0
5.77,0.000,0.000,1.002,7.60,5.94,0,0
5.87,0.000,0.000,1.001,7.53,5.94,0,0
5.96,0.000,0.000,1.001,7.50,5.94,0,0
6.07,0.000,0.000,1.001,7.45,5.94,0,0
6.17,0.000,0.000,1.001,7.40,5.94,0,0
6.24,0.000,0.000,1.001,7.35,5.94,0,0
6.34,0.000,0.000,1.001,7.30,5.94,0,0
6.44,0.000,0.000,1.001,7.24,5.94,0,0
6.54,0.000,0.000,1.000,7.18,5.94,0,0
6.64,0.000,0.000,1.000,7.14,5.94,0,0
6.74,0.000,0.000,1.000,7.08,5.94,0,0
6.84,-0.000,0.000,1.000,7.02,5.94,0,0
6.94,-0.002,0.001,1.002,6.97,5.94,0,0
7.04,-0.021,0.009,1.005,6.90,5.96,0,0
7.14,-0.055,0.019,1.009,6.81,6.00,0,0
7.24,-0.099,0.030,1.012,6.72,6.04,0,0
7.35,-0.163,0.040,1.017,6.60,6.11,0,0
7.44,-0.204,0.044,1.020,6.50,6.15,0,0
7.54,-0.310,0.049,1.027,6.34,6.26,0,0
7.64,-0.387,0.050,1.032,6.21,6.33,0,0
7.74,-0.525,0.051,1.039,6.01,6.47,0,0
7.84,-0.646,0.051,1.045,5.83,6.59,0,0
7.94,-0.769,0.051,1.049,5.66,6.72,0,0
8.04,-0.900,0.052,1.054,5.47,6.85,0,0
8.14,-1.034,0.051,1.057,5.29,6.98,0,0
8.24,-1.217,0.051,1.061,5.05,7.16,0,0
8.34,-1.341,0.051,1.064,4.87,7.29,0,0
8.44,-1.497,0.050,1.066,4.66,7.44,0,0
8.54,-1.643,0.050,1.067,4.46,7.59,0,0
8.64,-1.796,0.050,1.068,4.25,7.74,0,0
