time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.18,0.000,-0.000,0.019,999.00,0.00,0,0
0.18,0.000,-0.000,0.019,999.00,0.00,0,0
0.28,0.000,-0.000,0.019,999.00,0.00,0,0
0.38,0.001,-0.000,0.019,999.00,0.00,0,0
0.48,0.001,-0.000,0.019,999.00,0.00,0,0
0.58,0.002,-0.000,0.019,999.00,0.00,0,0
0.68,0.002,-0.001,0.019,999.00,0.00,0,0
0.78,0.003,-0.001,0.019,999.00,0.00,0,0
0.88,0.005,-0.001,0.041,999.00,0.03,0,0
0.98,0.006,-0.002,0.089,999.00,0.07,0,0
1.08,0.007,-0.003,0.132,999.00,0.12,0,0
1.19,0.007,-0.004,0.205,999.00,0.19,0,0
1.28,0.007,-0.005,0.257,999.00,0.24,0,0
1.38,0.007,-0.005,0.338,999.00,0.32,0,0
1.48,0.007,-0.006,0.422,999.00,0.41,0,0
1.58,0.007,-0.006,0.468,999.00,0.45,0,0
1.68,0.006,-0.006,0.545,999.00,0.53,0,0
1.78,0.006,-0.005,0.592,999.00,0.58,0,0
1.88,0.005,-0.005,0.653,999.00,0.64,0,0
1.98,0.004,-0.004,0.695,999.00,0.68,0,0
2.09,0.004,-0.004,0.732,999.00,0.72,0,0
2.18,0.003,-0.003,0.773,999.00,0.76,0,0
2.28,0.003,-0.003,0.804,999.00,0.79,0,0
2.38,0.002,-0.002,0.829,999.00,0.81,0,0
2.48,0.002,-0.002,0.858,999.00,0.84,0,0
2.58,0.001,-0.002,0.883,999.00,0.87,0,0
2.68,0.000,-0.001,0.901,999.00,0.89,0,0
2.78,-0.000,-0.001,0.924,999.00,0.91,0,0
2.88,-0.000,-0.001,0.936,999.00,0.92,0,0
2.98,-0.001,-0.001,0.947,999.00,0.93,0,0
3.08,-0.001,-0.000,0.955,999.00,0.94,0,0
3.18,-0.001,-0.000,0.966,999.00,0.95,0,0
3.28,-0.001,0.000,0.974,999.00,0.96,0,0
3.38,-0.001,0.000,0.978,999.00,0.96,0,0
3.48,-0.001,0.000,0.983,999.00,0.97,0,0
3.58,-0.001,0.000,0.987,999.00,0.97,0,0
3.68,-0.001,0.001,0.990,999.00,0.98,0,0
3.78,-0.001,0.001,0.992,999.00,0.98,0,0
3.88,-0.001,0.001,0.995,999.00,0.98,0,0
3.98,-0.001,0.001,0.996,999.00,0.98,0,0
4.08,-0.001,0.001,0.998,999.00,0.98,0,0
4.19,-0.001,0.001,0.999,999.00,0.98,0,0
4.28,-0.001,0.001,0.999,999.00,0.98,0,0
4.38,-0.001,0.000,1.000,999.00,0.98,0,0
4.48,-0.000,0.000,1.000,999.00,0.98,0,0
4.58,-0.000,0.000,1.000,999.00,0.99,0,0
4.68,-0.000,0.000,1.001,999.00,0.99,0,0
4.78,-0.000,0.000,1.001,999.00,0.99,0,0
4.88,-0.000,0.000,1.001,999.00,0.99,0,0
4.98,-0.000,0.000,1.001,999.00,0.99,0,0
5.08,-0.000,0.000,1.001,999.00,0.99,0,0
5.18,0.000,0.000,1.001,999.00,0.99,0,0
5.28,0.000,0.000,1.001,999.00,0.99,0,0
5.38,0.000,0.000,1.001,999.00,0.99,0,0
5.48,0.000,-0.000,1.001,999.00,0.99,0,0
5.58,0.000,-0.000,1.001,999.00,0.99,0,0
5.68,0.000,-0.000,1.001,999.00,0.99,0,0
5.78,0.000,-0.000,1.000,999.00,0.99,0,0
5.88,0.000,-0.000,1.000,999.00,0.99,0,0
5.98,0.000,-0.000,1.000,999.00,0.99,0,0
6.08,0.000,-0.000,1.000,999.00,0.99,0,0
6.18,0.000,-0.000,1.000,999.00,0.99,0,0
6.28,0.000,-0.000,1.000,999.00,0.99,0,0
6.38,0.000,-0.000,1.000,999.00,0.99,0,0
6.48,0.000,-0.000,1.000,999.00,0.99,0,0
6.58,0.000,-0.000,1.000,999.00,0.99,0,0
6.68,0.000,-0.000,1.000,999.00,0.99,0,0
6.78,0.000,-0.000,1.000,999.00,0.99,0,0
6.88,0.000,-0.000,1.000,999.00,0.99,0,0
6.98,0.000,-0.000,1.000,999.00,0.99,0,0
7.08,0.000,-0.000,1.000,999.00,0.99,0,0
7.18,0.000,-0.000,1.000,999.00,0.99,0,0
7.28,0.000,-0.000,1.000,999.00,0.99,0,0
7.38,0.000,-0.000,1.000,999.00,0.99,0,0
7.48,0.000,-0.000,1.000,999.00,0.99,0,0
7.58,0.000,-0.000,1.000,999.00,0.99,0,0
7.68,0.000,-0.000,1.000,999.00,0.99,0,0
7.78,0.000,-0.000,1.000,999.00,0.99,0,0
7.88,0.000,-0.000,1.000,999.00,0.99,0,0
7.99,0.000,-0.000,1.000,999.00,0.99,0,0
8.08,0.000,-0.000,1.000,999.00,0.99,0,0
8.18,0.000,-0.000,1.000,999.00,0.99,0,0
8.28,-0.000,-0.000,1.000,999.00,0.99,0,0
8.38,-0.000,-0.000,1.000,999.00,0.99,0,0
8.48,-0.000,-0.000,1.000,999.00,0.99,0,0
8.58,-0.000,-0.000,1.000,999.00,0.99,0,0
8.68,0.000,-0.000,1.000,999.00,0.99,0,0
8.78,0.000,-0.000,1.000,999.00,0.99,0,0
8.88,0.000,-0.000,1.000,999.00,0.99,0,0
8.98,0.000,-0.000,1.000,999.00,0.99,0,0
9.08,0.000,-0.000,1.000,999.00,0.99,0,0
9.18,0.000,-0.000,1.000,999.00,0.99,0,0
9.28,0.000,-0.000,1.000,999.00,0.99,0,0
9.38,0.000,-0.000,1.000,999.00,0.99,0,0
9.48,0.000,-0.000,1.000,999.00,0.99,0,0
9.58,0.000,-0.000,1.000,999.00,0.99,0,0
9.68,0.000,-0.000,1.000,999.00,0.99,0,0
9.78,0.000,-0.000,1.000,999.00,0.99,0,0
9.88,0.000,-0.000,1.000,999.00,0.99,0,0
9.98,0.000,-0.000,1.000,999.00,0.99,0,0
10.08,0.000,-0.000,1.000,999.00,0.99,0,0
10.18,0.000,-0.000,1.000,999.00,0.99,0,0
10.28,0.000,-0.000,1.000,999.00,0.99,0,0
10.38,0.000,-0.000,1.000,999.00,0.99,0,0
10.48,0.000,-0.000,1.000,999.00,0.99,0,0
10.58,-0.000,-0.000,1.000,999.00,0.99,0,0
10.68,-0.000,-0.000,1.000,999.00,0.99,0,0
10.78,-0.000,-0.000,1.000,999.00,0.99,0,0
10.88,-0.001,-0.000,0.999,999.00,0.99,0,0
