time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.09,0.000,-0.000,0.019,2.15,0.00,0,0
0.24,0.000,-0.000,0.019,999.00,0.00,0,0
0.31,-0.000,-0.000,0.021,2.23,0.00,0,0
0.41,-0.000,-0.001,0.040,2.27,0.02,0,0
0.51,-0.001,-0.001,0.073,2.30,0.05,0,0
0.61,-0.001,-0.002,0.139,2.34,0.12,0,0
0.71,-0.002,-0.002,0.192,2.37,0.17,0,0
0.81,-0.002,-0.003,0.252,2.41,0.23,0,0
0.91,-0.002,-0.003,0.341,2.45,0.32,0,0
1.01,-0.002,-0.003,0.398,2.49,0.38,0,0
1.11,-0.002,-0.003,0.452,2.52,0.43,0,0
1.21,-0.002,-0.002,0.530,2.56,0.51,0,0
1.31,-0.001,-0.002,0.577,2.59,0.56,0,0
1.41,-0.001,-0.002,0.643,2.63,0.62,0,0
1.51,-0.001,-0.001,0.687,2.66,0.67,0,0
1.61,-0.001,-0.001,0.737,2.69,0.72,0,0
1.71,-0.001,-0.001,0.766,2.72,0.75,0,0
1.81,-0.001,-0.001,0.801,2.74,0.78,0,0
1.92,-0.001,-0.001,0.826,2.89,0.81,0,0
2.02,-0.000,-0.001,0.865,2.99,0.85,0,0
2.12,-0.000,-0.000,0.886,2.97,0.87,0,0
2.22,-0.000,-0.000,0.903,2.79,0.88,0,0
2.32,-0.000,-0.000,0.917,2.76,0.90,0,0
2.45,-0.000,-0.000,0.937,2.75,0.92,0,0
2.51,0.000,0.000,0.947,2.74,0.93,0,0
2.61,0.000,0.000,0.956,2.73,0.94,0,0
2.71,0.000,0.000,0.964,2.72,0.94,0,0
2.81,0.000,0.000,0.972,2.71,0.95,0,0
2.91,0.000,0.000,0.977,2.70,0.96,0,0
3.01,0.000,0.000,0.983,2.69,0.96,0,0
3.11,0.000,0.000,0.986,2.67,0.97,0,0
3.22,0.000,0.000,0.990,2.66,0.97,0,0
3.31,0.000,0.000,0.993,2.65,0.97,0,0
3.43,0.000,0.000,0.995,2.63,0.98,0,0
3.51,0.000,0.000,0.996,2.62,0.98,0,0
3.61,0.000,0.000,0.998,2.60,0.98,0,0
3.71,0.000,0.000,0.999,2.59,0.98,0,0
3.81,0.000,0.000,0.999,2.57,0.98,0,0
3.91,0.000,0.000,1.000,2.55,0.98,0,0
4.01,0.000,0.000,1.000,2.54,0.98,0,0
4.11,0.000,0.000,1.000,2.52,0.98,0,0
4.21,0.000,0.000,1.001,2.51,0.98,0,0
4.31,0.000,0.000,1.001,2.49,0.98,0,0
4.41,0.000,0.000,1.001,2.48,0.98,0,0
4.51,0.000,0.000,1.001,2.46,0.98,0,0
4.61,0.000,0.000,1.001,2.44,0.98,0,0
4.71,0.000,-0.000,1.001,2.43,0.98,0,0
4.81,0.000,-0.000,1.001,2.41,0.98,0,0
4.91,0.000,-0.000,1.001,2.40,0.98,0,0
