time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.14,-0.000,-0.001,0.023,0.73,0.00,0,0
0.21,0.001,-0.001,0.024,0.72,0.01,0,0
0.31,0.003,0.000,0.052,0.71,0.04,0,0
0.41,0.004,0.002,0.080,0.69,0.07,0,0
0.51,0.009,0.009,0.150,0.66,0.14,0,0
0.60,0.013,0.016,0.211,0.62,0.20,0,0
0.70,0.018,0.024,0.288,0.57,0.27,0,0
0.80,0.022,0.033,0.376,0.51,0.36,0,0
0.91,0.024,0.036,0.422,0.48,0.41,0,0
1.01,0.025,0.039,0.492,0.45,0.48,0,0
1.11,0.025,0.040,0.561,0.42,0.55,0,0
1.21,0.024,0.038,0.617,0.40,0.61,0,1
1.31,0.023,0.036,0.666,0.38,0.65,0,1
1.41,0.020,0.032,0.716,0.36,0.70,0,1
1.51,0.018,0.028,0.758,0.34,0.75,0,1
1.61,0.016,0.025,0.782,0.33,0.77,0,1
1.71,0.014,0.021,0.819,0.31,0.81,0,1
1.81,0.012,0.017,0.848,0.30,0.84,0,1
1.91,0.010,0.014,0.872,0.28,0.86,0,1
2.01,0.009,0.012,0.890,0.27,0.88,0,1
2.11,0.007,0.009,0.912,0.25,0.90,0,1
2.21,0.006,0.008,0.924,0.23,0.91,0,1
2.31,0.004,0.005,0.940,0.21,0.93,0,1
2.41,0.003,0.003,0.952,0.20,0.94,0,1
2.50,0.002,0.002,0.960,0.18,0.95,0,1
2.61,0.001,-0.000,0.969,0.16,0.96,0,1
2.71,-0.001,-0.002,0.976,0.14,0.97,0,1
2.81,-0.001,-0.003,0.980,0.13,0.97,0,1
2.91,-0.002,-0.004,0.984,0.11,0.98,0,1
3.01,-0.002,-0.005,0.988,0.10,0.98,0,1
3.11,-0.003,-0.006,0.991,0.09,0.98,0,1
3.21,-0.003,-0.006,0.993,0.07,0.99,0,1
3.31,-0.003,-0.006,0.995,0.07,0.99,0,1
3.41,-0.003,-0.006,0.996,0.06,0.99,0,1
3.51,-0.003,-0.006,0.998,0.06,0.99,0,1
3.61,-0.003,-0.006,0.999,0.06,0.99,0,1
3.71,-0.003,-0.005,1.000,0.06,0.99,0,1
3.81,-0.003,-0.005,1.000,0.07,0.99,0,1
3.91,-0.003,-0.005,1.000,0.08,0.99,0,1
4.01,-0.002,-0.004,1.001,0.09,0.99,0,1
4.11,-0.002,-0.004,1.001,0.11,0.99,0,1
4.21,-0.002,-0.004,1.001,0.14,0.99,0,1
4.31,-0.002,-0.003,1.001,0.16,0.99,0,1
4.41,-0.001,-0.003,1.001,0.19,1.00,0,1
4.51,-0.001,-0.003,1.001,0.22,1.00,0,1
4.61,-0.001,-0.002,1.001,0.26,1.00,0,1
4.71,-0.001,-0.002,1.001,0.30,1.00,0,1
4.81,-0.001,-0.002,1.001,0.34,1.00,0,1
4.91,-0.000,-0.001,1.001,0.38,1.00,0,1
5.01,-0.000,-0.001,1.001,0.43,1.00,0,0
5.11,-0.000,-0.001,1.000,0.44,1.00,0,0
5.20,0.000,-0.001,1.000,0.44,1.00,0,0
5.30,0.000,-0.001,1.000,0.45,1.00,0,0
5.40,0.000,-0.000,1.000,0.45,1.00,0,0
5.51,0.000,-0.000,1.000,0.46,1.00,0,0
5.61,0.000,-0.000,1.000,0.47,1.00,0,0
5.70,0.000,-0.000,1.000,0.47,1.00,0,0
5.80,0.000,-0.000,1.000,0.48,1.00,0,0
5.90,0.000,-0.000,1.000,0.49,1.00,0,0
6.01,0.000,-0.000,1.000,0.50,1.00,0,0
6.10,0.000,-0.000,1.000,0.51,1.00,0,0
6.20,0.000,-0.000,1.000,0.52,1.00,0,0
6.30,0.000,-0.000,1.000,0.53,1.00,0,0
6.41,0.000,-0.000,1.000,0.54,1.00,0,0
6.50,0.000,-0.000,1.000,0.55,1.00,0,0
6.60,0.000,-0.000,1.000,0.56,1.00,0,0
6.70,0.000,-0.000,1.000,0.57,1.00,0,0
6.80,0.000,-0.000,1.000,0.59,1.00,0,0
6.90,0.000,-0.001,1.000,0.60,1.00,0,0
7.00,0.000,-0.001,1.000,0.61,1.00,0,0
7.10,-0.003,0.000,1.001,0.63,1.00,0,0
7.20,-0.018,0.006,1.004,0.66,1.02,0,0
7.30,-0.056,0.027,1.008,0.72,1.06,0,0
7.40,-0.088,0.048,1.011,0.78,1.10,0,0
7.50,-0.150,0.091,1.016,0.86,1.18,0,0
7.60,-0.211,0.129,1.021,0.95,1.25,0,0
7.70,-0.281,0.158,1.027,1.04,1.33,0,0
7.80,-0.346,0.173,1.031,1.13,1.39,0,0
7.90,-0.440,0.184,1.037,1.24,1.49,0,0
8.00,-0.555,0.184,1.043,1.37,1.60,0,0
8.10,-0.685,0.170,1.049,1.51,1.73,0,0
8.20,-0.782,0.152,1.052,1.58,1.83,0,0
8.30,-0.931,0.120,1.056,1.53,1.98,0,0
8.40,-1.093,0.080,1.061,1.48,2.15,0,0
8.50,-1.234,0.032,1.064,1.44,2.30,0,0
8.60,-1.323,-0.012,1.066,1.42,2.40,0,0
8.70,-1.434,-0.098,1.068,1.37,2.54,0,0
8.80,-1.510,-0.189,1.069,1.32,2.66,0,0
8.90,-1.572,-0.287,1.069,1.26,2.78,0,0
9.00,-1.615,-0.383,1.069,1.21,2.88,0,0
9.10,-1.634,-0.449,1.069,1.17,2.95,0,0
9.20,-1.645,-0.553,1.068,1.07,3.05,0,0
9.30,-1.638,-0.649,1.067,0.98,3.15,0,0
9.40,-1.616,-0.745,1.064,0.92,3.25,0,0
9.50,-1.588,-0.833,1.061,0.87,3.34,0,0
9.60,-1.568,-0.921,1.058,0.82,3.43,0,0
9.70,-1.571,-1.004,1.055,0.75,3.52,0,0
9.80,-1.598,-1.093,1.051,0.66,3.61,0,0
9.90,-1.643,-1.184,1.047,0.56,3.71,0,0
10.00,-1.675,-1.238,1.045,0.48,3.77,0,0
10.10,-1.742,-1.334,1.042,0.38,3.89,0,1
10.20,-1.823,-1.432,1.040,0.28,4.02,0,1
10.30,-1.915,-1.529,1.038,0.19,4.15,0,1
10.40,-1.987,-1.596,1.037,0.12,4.25,0,1
10.50,-2.109,-1.693,1.036,0.07,4.41,0,1
10.60,-2.236,-1.775,1.035,0.04,4.56,0,1
10.70,-2.377,-1.856,1.035,0.06,4.72,0,1
10.80,-2.477,-1.910,1.035,0.10,4.83,0,1
10.90,-2.607,-1.982,1.035,0.19,4.98,0,1
11.00,-2.747,-2.057,1.035,0.31,5.14,0,1
11.10,-2.844,-2.107,1.036,0.43,5.25,0,0
11.20,-2.974,-2.170,1.036,0.58,5.39,0,0
11.30,-3.119,-2.234,1.037,0.75,5.55,0,0
11.40,-3.224,-2.269,1.038,0.89,5.66,0,0
11.50,-3.379,-2.305,1.039,1.06,5.82,0,0
11.60,-3.520,-2.327,1.040,1.22,5.97,0,0
11.70,-3.680,-2.355,1.041,1.41,6.13,0,0
11.80,-3.769,-2.377,1.042,1.55,6.22,0,0
11.90,-3.915,-2.426,1.043,1.76,6.37,0,0
12.00,-4.058,-2.486,1.043,1.97,6.53,0,0
12.10,-4.145,-2.525,1.044,2.12,6.62,0,0
12.20,-4.284,-2.593,1.045,2.34,6.78,0,0
12.30,-4.423,-2.670,1.046,2.56,6.94,0,0
12.40,-4.544,-2.743,1.047,2.71,7.08,0,0
12.50,-4.643,-2.805,1.047,2.80,7.20,0,0
12.60,-4.768,-2.883,1.048,2.91,7.34,0,0
12.70,-4.891,-2.958,1.049,2.82,7.49,0,0
12.80,-5.021,-3.029,1.049,2.66,7.64,0,0
12.90,-5.119,-3.074,1.050,2.53,7.74,0,0
13.00,-5.266,-3.134,1.050,2.36,7.90,0,0
13.10,-5.399,-3.188,1.050,2.21,8.05,0,0
13.20,-5.532,-3.250,1.051,2.07,8.19,0,0
13.30,-5.609,-3.297,1.051,1.98,8.28,0,0
13.40,-5.722,-3.392,1.051,1.88,8.43,0,0
13.50,-5.821,-3.504,1.050,1.82,8.58,0,0
13.60,-5.922,-3.637,1.050,1.78,8.75,0,0
13.70,-5.991,-3.731,1.049,1.77,8.86,0,0
13.80,-6.094,-3.861,1.049,1.76,9.03,0,0
13.90,-6.185,-3.956,1.048,1.76,9.16,0,0
14.00,-6.306,-4.058,1.047,1.76,9.32,0,0
14.10,-6.440,-4.157,1.046,1.77,9.48,0,0
14.20,-6.575,-4.254,1.045,1.80,9.65,0,0
14.30,-6.657,-4.314,1.045,1.83,9.75,0,0
14.40,-6.777,-4.404,1.044,1.89,9.90,0,0
14.50,-6.898,-4.500,1.044,1.97,10.06,0,0
14.60,-7.018,-4.592,1.044,2.06,10.21,0,0
14.70,-7.150,-4.680,1.043,2.16,10.37,0,0
14.80,-7.240,-4.729,1.044,2.20,10.47,0,0
14.90,-7.396,-4.790,1.044,2.08,10.64,0,0
15.00,-7.517,-4.822,1.044,1.99,10.76,0,0
15.10,-7.683,-4.851,1.044,1.90,10.93,0,0
15.20,-7.859,-4.867,1.045,1.82,11.11,0,0
15.30,-7.975,-4.872,1.045,1.77,11.22,0,0
15.40,-8.138,-4.875,1.045,1.72,11.39,0,0
15.50,-8.292,-4.877,1.046,1.68,11.54,0,0
