time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.09,-0.000,-0.001,0.023,3.14,0.00,0,0
0.23,0.000,0.001,0.024,3.13,0.01,0,0
0.30,0.001,0.003,0.030,3.12,0.02,0,0
0.43,0.003,0.008,0.046,3.10,0.03,0,0
0.53,0.007,0.021,0.105,3.07,0.09,0,0
0.61,0.011,0.032,0.157,3.04,0.15,0,0
0.71,0.014,0.041,0.209,3.01,0.20,0,0
0.81,0.018,0.051,0.275,2.98,0.27,0,0
0.93,0.021,0.060,0.363,2.94,0.36,0,0
1.03,0.022,0.062,0.420,2.92,0.41,0,0
1.10,0.023,0.063,0.480,2.89,0.47,0,0
1.23,0.022,0.060,0.543,2.87,0.54,0,0
1.33,0.022,0.058,0.581,2.85,0.57,0,0
1.44,0.019,0.049,0.664,2.83,0.66,0,0
1.51,0.017,0.044,0.704,2.80,0.70,0,0
1.62,0.015,0.037,0.753,2.78,0.75,0,0
1.73,0.014,0.034,0.775,2.76,0.77,0,0
1.83,0.012,0.028,0.814,2.73,0.81,0,0
1.93,0.010,0.023,0.844,2.72,0.84,0,0
2.05,0.009,0.020,0.865,2.69,0.86,0,0
2.12,0.008,0.016,0.886,2.66,0.88,0,0
2.21,0.007,0.013,0.903,2.63,0.90,0,0
2.33,0.005,0.008,0.928,2.61,0.92,0,0
2.45,0.004,0.005,0.940,2.59,0.94,0,0
2.51,0.003,0.004,0.946,2.56,0.94,0,0
2.63,0.001,0.000,0.961,2.53,0.96,0,0
2.73,0.000,-0.002,0.968,2.49,0.97,0,0
2.84,-0.000,-0.004,0.975,2.47,0.97,0,0
2.94,-0.001,-0.005,0.980,2.43,0.98,0,0
3.03,-0.002,-0.006,0.983,2.40,0.98,0,0
3.15,-0.002,-0.007,0.988,2.36,0.99,0,0
3.24,-0.002,-0.008,0.991,2.33,0.99,0,0
3.30,-0.003,-0.008,0.993,2.30,0.99,0,0
3.43,-0.003,-0.008,0.995,2.27,0.99,0,0
3.54,-0.003,-0.007,0.997,2.24,1.00,0,0
3.64,-0.003,-0.007,0.998,2.20,1.00,0,0
3.75,-0.003,-0.007,0.999,2.17,1.00,0,0
3.83,-0.002,-0.006,0.999,2.15,1.00,0,0
3.96,-0.002,-0.006,1.000,2.10,1.00,0,0
4.03,-0.002,-0.005,1.000,2.07,1.00,0,0
4.13,-0.002,-0.005,1.000,2.03,1.00,0,0
4.23,-0.002,-0.004,1.001,2.00,1.00,0,0
4.34,-0.001,-0.003,1.001,1.97,1.00,0,0
4.43,-0.001,-0.003,1.001,1.94,1.00,0,0
4.53,-0.001,-0.002,1.001,1.91,1.00,0,0
4.62,-0.001,-0.002,1.001,1.87,1.00,0,0
4.73,-0.001,-0.001,1.001,1.84,1.00,0,0
4.84,-0.000,-0.001,1.001,1.82,1.01,0,0
4.93,-0.000,-0.000,1.001,1.78,1.01,0,0
5.02,-0.000,-0.000,1.001,1.75,1.01,0,0
5.10,-0.000,0.000,1.001,1.73,1.01,0,0
5.24,0.000,0.000,1.001,1.70,1.01,0,0
5.30,0.000,0.001,1.000,1.68,1.01,0,0
5.41,0.000,0.001,1.000,1.66,1.01,0,0
5.50,0.000,0.001,1.000,1.63,1.01,0,0
5.62,0.000,0.001,1.000,1.61,1.01,0,0
5.72,0.000,0.001,1.000,1.59,1.01,0,0
5.82,0.000,0.001,1.000,1.57,1.01,0,0
5.90,0.000,0.001,1.000,1.55,1.01,0,0
6.00,0.000,0.001,1.000,1.53,1.01,0,0
6.12,0.000,0.001,1.000,1.51,1.01,0,0
6.21,0.000,0.001,1.000,1.50,1.01,0,0
6.29,0.000,0.001,1.000,1.49,1.01,0,0
6.41,0.000,0.001,1.000,1.48,1.01,0,0
6.50,0.000,0.001,1.000,1.46,1.01,0,0
6.60,0.000,0.001,1.000,1.46,1.01,0,0
6.70,0.000,0.000,1.000,1.45,1.01,0,0
6.80,0.000,0.000,1.000,1.44,1.01,0,0
6.90,0.000,0.000,1.000,1.44,1.01,0,0
7.01,0.000,0.000,1.000,1.44,1.01,0,0
7.10,0.000,0.000,1.000,1.43,1.01,0,0
7.20,0.000,0.000,1.000,1.44,1.01,0,0
7.31,0.000,0.000,1.000,1.44,1.01,0,0
7.40,0.000,0.000,1.000,1.44,1.01,0,0
7.51,0.000,-0.000,1.000,1.45,1.01,0,0
7.60,-0.000,-0.000,1.000,1.45,1.01,0,0
7.70,-0.000,-0.000,1.000,1.46,1.01,0,0
7.80,-0.000,-0.000,1.000,1.47,1.01,0,0
7.90,-0.000,-0.000,1.000,1.48,1.01,0,0
8.00,-0.000,-0.000,1.000,1.49,1.01,0,0
8.12,-0.000,-0.000,1.000,1.50,1.01,0,0
8.20,-0.000,-0.000,1.000,1.52,1.01,0,0
8.30,-0.000,-0.000,1.000,1.54,1.01,0,0
8.40,-0.000,-0.000,1.000,1.55,1.01,0,0
8.51,-0.000,-0.000,1.000,1.57,1.01,0,0
8.60,-0.000,-0.000,1.000,1.59,1.01,0,0
8.70,-0.000,-0.000,1.000,1.61,1.01,0,0
8.80,-0.000,-0.000,1.000,1.63,1.01,0,0
8.90,-0.000,-0.000,1.000,1.65,1.01,0,0
9.03,-0.000,-0.000,1.000,1.68,1.01,0,0
9.13,-0.000,-0.000,1.000,1.69,1.01,0,0
9.20,-0.000,-0.000,1.000,1.72,1.01,0,0
9.30,-0.000,-0.000,1.000,1.74,1.01,0,0
9.40,-0.000,-0.000,1.000,1.77,1.01,0,0
9.50,-0.000,-0.000,1.000,1.79,1.01,0,0
9.60,-0.000,0.000,1.000,1.82,1.01,0,0
9.71,-0.000,0.000,1.000,1.85,1.01,0,0
9.80,-0.000,0.000,1.000,1.87,1.01,0,0
9.90,-0.000,0.000,1.000,1.89,1.01,0,0
10.00,-0.000,0.000,1.000,1.92,1.01,0,0
10.10,0.000,0.000,1.000,1.95,1.01,0,0
10.21,0.000,0.000,1.000,1.97,1.01,0,0
10.30,0.000,0.000,1.000,2.00,1.01,0,0
10.40,0.000,0.000,1.000,2.02,1.01,0,0
10.50,0.000,0.000,1.000,2.05,1.01,0,0
10.60,0.000,0.000,1.000,2.07,1.01,0,0
10.71,0.000,0.000,1.000,2.09,1.01,0,0
10.80,0.000,0.000,1.000,2.12,1.01,0,0
10.90,0.000,0.000,1.000,2.14,1.01,0,0
11.00,0.000,0.000,1.000,2.17,1.01,0,0
11.10,0.000,0.000,1.000,2.19,1.01,0,0
11.20,0.000,0.000,1.000,2.21,1.01,0,0
11.30,0.000,0.000,1.000,2.24,1.01,0,0
11.40,0.000,0.000,1.000,2.26,1.01,0,0
11.50,0.000,0.000,1.000,2.28,1.01,0,0
11.60,0.000,0.000,1.000,2.29,1.01,0,0
11.70,0.000,0.000,1.000,2.31,1.01,0,0
11.80,0.000,0.000,1.000,2.33,1.01,0,0
11.90,0.000,0.000,1.000,2.35,1.01,0,0
12.00,0.000,0.000,1.000,2.37,1.01,0,0
12.11,0.000,0.000,1.000,2.38,1.01,0,0
12.20,0.000,0.000,1.000,2.40,1.01,0,0
12.31,0.000,0.000,1.000,2.42,1.01,0,0
12.40,-0.000,0.000,1.000,2.43,1.01,0,0
12.51,-0.000,0.000,1.000,2.44,1.01,0,0
12.62,-0.000,0.000,1.000,2.45,1.01,0,0
12.72,-0.000,0.000,1.000,2.46,1.01,0,0
12.80,-0.000,0.000,1.000,2.47,1.01,0,0
12.90,-0.001,0.001,1.002,2.47,1.01,0,0
13.00,-0.007,0.003,1.005,2.48,1.02,0,0
13.10,-0.037,0.013,1.010,2.47,1.05,0,0
