time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.08,0.000,-0.000,0.019,2.61,0.00,0,0
0.30,0.000,-0.000,0.019,999.00,0.00,0,0
0.33,0.000,-0.001,0.020,2.54,0.00,0,0
0.40,0.001,-0.001,0.020,2.51,0.00,0,0
0.50,0.001,-0.001,0.047,2.47,0.03,0,0
0.60,0.002,-0.002,0.080,2.44,0.06,0,0
0.70,0.002,-0.002,0.134,2.40,0.12,0,0
0.80,0.001,-0.002,0.217,2.35,0.20,0,0
0.90,0.001,-0.002,0.280,2.30,0.26,0,0
1.00,0.000,-0.003,0.349,2.26,0.33,0,0
1.10,0.000,-0.003,0.431,2.21,0.41,0,0
1.20,-0.000,-0.002,0.491,2.18,0.47,0,0
1.30,-0.000,-0.002,0.542,2.14,0.52,0,0
1.40,-0.000,-0.002,0.595,2.10,0.58,0,0
1.52,-0.000,-0.002,0.650,2.06,0.63,0,0
1.61,0.000,-0.002,0.708,2.03,0.69,0,0
1.73,0.000,-0.001,0.728,1.99,0.71,0,0
1.82,0.000,-0.001,0.786,1.95,0.77,0,0
1.91,0.000,-0.001,0.814,1.92,0.80,0,0
2.01,0.000,-0.001,0.842,1.88,0.82,0,0
2.11,0.000,-0.001,0.863,1.86,0.84,0,0
2.20,0.000,-0.001,0.885,1.83,0.87,0,0
2.33,-0.000,-0.000,0.910,1.80,0.89,0,0
2.41,-0.000,-0.000,0.918,1.77,0.90,0,0
2.51,-0.000,-0.000,0.940,1.74,0.92,0,0
2.62,-0.000,-0.000,0.950,1.71,0.93,0,0
2.71,-0.000,0.000,0.959,1.69,0.94,0,0
2.81,-0.000,0.000,0.966,1.67,0.95,0,0
2.91,-0.000,0.000,0.975,1.64,0.96,0,0
3.01,-0.000,0.000,0.978,1.63,0.96,0,0
3.11,-0.000,0.000,0.984,1.60,0.97,0,0
3.21,-0.000,0.000,0.988,1.58,0.97,0,0
3.30,-0.000,0.000,0.991,1.56,0.97,0,0
3.40,-0.000,0.000,0.993,1.54,0.97,0,0
3.51,-0.000,0.000,0.995,1.52,0.98,0,0
3.61,-0.000,0.000,0.996,1.51,0.98,0,0
3.71,-0.000,0.000,0.998,1.49,0.98,0,0
