time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.05,0.000,0.000,-1.103,15.28,0.18,0,0
0.15,0.000,0.000,-1.495,15.29,0.57,0,0
0.58,0.000,0.000,-2.207,999.00,1.29,0,0
0.61,0.000,0.000,-3.113,15.36,2.19,0,0
0.71,0.000,0.000,-3.082,15.31,2.22,0,0
0.81,0.000,0.000,-2.929,15.24,2.38,0,0
0.92,0.000,0.000,-2.687,15.15,2.62,0,0
1.02,0.000,0.000,-2.392,15.06,2.91,0,0
1.11,0.000,0.000,-2.176,14.97,3.13,0,0
1.21,0.000,0.000,-1.851,14.88,3.45,0,0
1.31,0.000,0.000,-1.530,14.76,3.77,0,0
1.42,0.000,0.000,-1.320,14.68,3.99,0,0
1.51,0.000,0.000,-1.016,14.56,4.29,0,0
1.62,0.000,0.000,-0.817,14.44,4.49,0,0
1.72,0.000,0.000,-0.525,14.31,4.78,0,0
1.82,0.000,0.000,-0.373,14.19,4.93,0,0
1.92,0.000,0.000,-0.204,14.09,5.10,0,0
2.02,0.000,0.000,0.026,13.97,5.33,0,0
2.12,0.000,0.000,0.150,13.79,5.45,0,0
2.21,0.000,0.000,0.263,13.67,5.57,0,0
2.32,0.000,0.000,0.411,13.55,5.72,0,0
2.42,0.000,0.000,0.493,13.43,5.80,0,0
2.52,0.000,0.000,0.568,13.30,5.87,0,0
2.63,0.000,0.000,0.629,13.19,5.93,0,0
2.72,0.000,0.000,0.716,13.04,6.02,0,0
2.82,0.000,0.000,0.763,12.88,6.07,0,0
2.92,0.000,0.000,0.807,12.77,6.11,0,0
3.02,0.000,0.000,0.840,12.63,6.14,0,0
3.12,0.000,0.000,0.880,12.42,6.19,0,0
3.21,0.000,0.000,0.904,12.32,6.21,0,0
3.32,0.000,0.000,0.923,12.18,6.23,0,0
3.42,0.000,0.000,0.938,11.98,6.24,0,0
3.52,0.000,0.000,0.951,11.84,6.26,0,0
3.62,0.000,0.000,0.964,11.66,6.27,0,0
3.72,0.000,0.000,0.977,11.51,6.28,0,0
3.82,0.000,0.000,0.982,11.34,6.29,0,0
3.92,0.000,0.000,0.988,11.19,6.29,0,0
4.02,0.000,0.000,0.993,11.00,6.30,0,0
4.13,0.000,0.000,0.996,10.76,6.30,0,0
4.22,0.000,0.000,0.998,10.68,6.30,0,0
4.32,0.000,0.000,1.000,10.51,6.30,0,0
4.42,0.000,0.000,1.002,10.26,6.31,0,0
4.52,0.000,0.000,1.003,10.08,6.31,0,0
4.63,0.000,0.000,1.003,9.99,6.31,0,0
4.74,0.000,0.000,1.003,9.76,6.31,0,0
4.82,0.000,0.000,1.004,9.53,6.31,0,0
4.92,0.000,0.000,1.004,9.41,6.31,0,0
5.02,0.000,0.000,1.003,9.23,6.31,0,0
5.12,0.000,0.000,1.003,9.04,6.31,0,0
5.22,0.000,0.000,1.003,8.86,6.31,0,0
5.32,0.000,0.000,1.003,8.67,6.31,0,0
5.42,0.000,0.000,1.003,8.48,6.31,0,0
5.52,0.000,0.000,1.002,8.25,6.31,0,0
5.62,0.000,0.000,1.002,8.09,6.31,0,0
5.72,0.000,0.000,1.002,7.93,6.31,0,0
5.82,0.000,0.000,1.002,7.69,6.31,0,0
5.92,0.000,0.000,1.001,7.53,6.31,0,0
6.02,0.000,0.000,1.001,7.38,6.31,0,0
6.12,0.000,0.000,1.001,7.14,6.31,0,0
6.24,0.000,0.000,1.001,6.88,6.31,0,0
6.30,0.000,0.000,1.001,6.79,6.31,0,0
6.39,0.000,0.000,1.001,6.61,6.31,0,0
6.49,0.000,0.000,1.001,6.44,6.31,0,0
6.59,0.000,0.000,1.000,6.21,6.31,0,0
6.69,0.000,0.000,1.000,6.06,6.31,0,0
6.79,0.000,0.000,1.000,5.89,6.31,0,0
6.89,-0.000,0.000,1.000,5.69,6.31,0,0
7.00,-0.000,0.000,1.000,5.52,6.31,0,0
7.10,-0.002,0.001,1.002,5.32,6.31,0,0
7.19,-0.020,0.009,1.005,5.16,6.33,0,0
7.29,-0.052,0.019,1.009,4.96,6.37,0,0
7.39,-0.111,0.034,1.014,4.76,6.43,0,0
7.49,-0.163,0.042,1.018,4.49,6.48,0,0
7.59,-0.246,0.047,1.023,4.28,6.56,0,0
7.70,-0.302,0.048,1.027,4.04,6.62,0,0
7.79,-0.399,0.047,1.033,3.79,6.72,0,0
7.90,-0.525,0.045,1.041,3.53,6.84,0,0
7.99,-0.627,0.044,1.046,3.30,6.95,0,0
8.09,-0.745,0.044,1.051,3.01,7.06,0,0
8.19,-0.911,0.046,1.057,2.73,7.23,0,0
8.29,-1.024,0.047,1.060,2.48,7.34,0,0
8.39,-1.234,0.049,1.065,2.17,7.55,0,0
8.55,-1.356,0.049,1.068,1.90,7.68,0,0
8.59,-1.490,0.050,1.070,1.74,7.81,0,0
8.70,-1.617,0.050,1.071,1.55,7.94,0,0
8.79,-1.867,0.050,1.072,1.29,8.19,0,0
8.89,-1.910,0.050,1.072,1.20,8.23,0,0
8.99,-2.077,0.049,1.072,1.08,8.40,0,0
9.09,-2.208,0.048,1.070,1.02,8.53,0,0
9.19,-2.336,0.047,1.068,1.00,8.66,0,0
9.30,-2.406,0.047,1.066,1.02,8.73,0,0
9.40,-2.496,0.045,1.063,1.06,8.82,0,0
9.49,-2.559,0.044,1.059,1.13,8.88,0,0
9.59,-2.608,0.043,1.055,1.20,8.93,0,0
9.69,-2.627,0.042,1.053,1.29,8.95,0,0
9.79,-2.661,0.041,1.045,1.37,8.98,0,0
9.89,-2.665,0.040,1.043,1.27,8.99,0,0
9.99,-2.659,0.039,1.036,1.16,9.00,0,0
10.11,-2.647,0.044,1.031,1.10,9.01,0,0
10.19,-2.642,0.055,1.028,0.98,9.02,0,0
10.32,-2.647,0.085,1.024,0.88,9.06,0,0
10.40,-2.679,0.138,1.020,0.77,9.12,0,0
10.51,-2.720,0.185,1.018,0.67,9.18,0,0
10.60,-2.786,0.252,1.015,0.57,9.27,0,0
10.70,-2.858,0.323,1.013,0.49,9.38,0,0
10.79,-2.937,0.402,1.013,0.45,9.49,0,0
10.90,-2.971,0.436,1.013,0.43,9.54,0,0
10.99,-3.069,0.527,1.014,0.46,9.67,0,0
11.10,-3.161,0.607,1.016,0.52,9.79,0,0
11.20,-3.243,0.677,1.018,0.61,9.90,0,0
11.30,-3.330,0.751,1.022,0.54,10.01,0,0
11.40,-3.402,0.811,1.025,0.40,10.11,0,0
11.50,-3.456,0.854,1.029,0.32,10.18,0,1
11.59,-3.536,0.916,1.035,0.24,10.28,0,1
11.69,-3.604,0.967,1.043,0.18,10.36,0,1
11.80,-3.657,1.003,1.058,0.17,10.43,0,1
11.89,-3.677,1.015,1.069,0.17,10.45,0,1
11.98,-3.698,1.018,1.096,0.21,10.49,0,1
12.08,-3.701,1.012,1.114,0.24,10.51,0,1
12.19,-3.698,1.000,1.136,0.29,10.53,0,1
12.29,-3.684,0.973,1.171,0.36,10.58,0,1
12.38,-3.651,0.928,1.218,0.44,10.65,0,0
12.48,-3.623,0.894,1.249,0.50,10.71,0,0
12.59,-3.587,0.852,1.285,0.58,10.77,0,0
12.69,-3.535,0.794,1.332,0.66,10.87,0,0
12.79,-3.482,0.736,1.379,0.75,10.96,0,0
12.89,-3.432,0.683,1.422,0.83,11.04,0,0
13.00,-3.362,0.612,1.481,0.93,11.16,0,0
13.09,-3.301,0.551,1.532,1.02,11.26,0,0
13.19,-3.246,0.497,1.578,1.10,11.35,0,0
13.29,-3.193,0.445,1.621,1.20,11.43,0,0
13.39,-3.155,0.404,1.661,1.29,11.50,0,0
13.49,-3.142,0.388,1.688,1.37,11.54,0,0
13.59,-3.143,0.386,1.710,1.45,11.56,0,0
13.69,-3.168,0.408,1.740,1.52,11.60,0,0
13.79,-3.195,0.433,1.754,1.60,11.64,0,0
13.89,-3.227,0.462,1.763,1.69,11.69,0,0
13.99,-3.269,0.500,1.769,1.75,11.74,0,0
14.09,-3.327,0.554,1.769,1.84,11.82,0,0
14.19,-3.405,0.629,1.762,1.94,11.93,0,0
14.33,-3.452,0.668,1.754,2.02,11.99,0,0
14.39,-3.525,0.706,1.738,2.11,12.08,0,0
14.49,-3.608,0.713,1.716,2.23,12.16,0,0
14.59,-3.691,0.693,1.691,2.35,12.25,0,0
14.69,-3.767,0.664,1.665,2.47,12.34,0,0
14.79,-3.847,0.626,1.635,2.59,12.43,0,0
14.89,-3.919,0.584,1.604,2.66,12.52,0,0
14.99,-3.998,0.525,1.564,2.69,12.63,0,0
15.09,-4.077,0.449,1.517,2.71,12.75,0,0
15.18,-4.137,0.383,1.479,2.63,12.84,0,0
15.30,-4.188,0.322,1.448,2.49,12.93,0,0
15.40,-4.253,0.260,1.415,2.38,13.02,0,0
15.49,-4.334,0.216,1.388,2.31,13.12,0,0
15.59,-4.415,0.195,1.368,2.23,13.21,0,0
15.69,-4.598,0.182,1.340,2.20,13.39,0,0
15.80,-4.685,0.187,1.331,2.12,13.48,0,0
15.89,-4.765,0.200,1.326,2.09,13.56,0,0
15.99,-4.870,0.227,1.323,2.05,13.67,0,0
16.09,-4.993,0.268,1.324,2.01,13.80,0,0
16.19,-5.117,0.311,1.328,2.00,13.93,0,0
16.29,-5.261,0.362,1.333,2.00,14.08,0,0
16.39,-5.479,0.427,1.340,2.07,14.31,0,0
16.49,-5.589,0.443,1.344,2.02,14.42,0,0
16.59,-5.716,0.446,1.348,1.99,14.55,0,0
16.69,-5.834,0.437,1.351,1.91,14.67,0,0
16.79,-6.011,0.410,1.355,1.88,14.85,0,0
16.89,-6.102,0.394,1.357,1.83,14.94,0,0
16.99,-6.295,0.351,1.360,1.79,15.14,0,0
17.09,-6.370,0.332,1.361,1.70,15.22,0,0
17.19,-6.527,0.285,1.362,1.66,15.38,0,0
17.29,-6.669,0.240,1.362,1.59,15.53,0,0
17.39,-6.795,0.205,1.362,1.55,15.66,0,0
17.49,-6.935,0.183,1.361,1.50,15.80,0,0
17.59,-7.052,0.177,1.360,1.42,15.92,0,0
17.69,-7.155,0.176,1.358,1.36,16.02,0,0
17.79,-7.259,0.180,1.356,1.29,16.13,0,0
17.90,-7.366,0.187,1.355,1.21,16.23,0,0
17.99,-7.488,0.196,1.353,1.21,16.35,0,0
18.09,-7.620,0.201,1.350,1.14,16.49,0,0
18.19,-7.833,0.201,1.347,1.17,16.70,0,0
18.29,-7.932,0.196,1.346,1.11,16.80,0,0
18.40,-8.108,0.182,1.343,1.08,16.98,0,0
18.49,-8.226,0.168,1.342,1.06,17.09,0,0
18.60,-8.416,0.144,1.341,1.06,17.29,0,0
18.69,-8.565,0.126,1.340,1.07,17.44,0,0
