time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.10,-0.000,-0.000,0.020,3.14,0.00,0,0
0.26,0.000,-0.000,0.020,3.12,0.00,0,0
0.33,0.000,-0.000,0.020,3.12,0.00,0,0
0.49,0.000,-0.001,0.038,3.10,0.02,0,0
0.64,0.000,-0.001,0.063,3.07,0.05,0,0
0.77,0.000,-0.001,0.142,3.03,0.13,0,0
0.92,-0.000,-0.000,0.236,2.99,0.22,0,0
1.08,-0.001,0.000,0.343,2.98,0.33,0,0
1.23,-0.001,0.001,0.452,2.91,0.44,0,0
1.38,-0.001,0.001,0.550,2.86,0.53,0,0
1.57,-0.001,0.001,0.634,2.86,0.62,0,0
1.66,-0.001,0.001,0.717,2.79,0.70,0,0
1.82,-0.001,0.001,0.766,2.75,0.75,0,0
2.00,-0.001,0.001,0.804,2.70,0.79,0,0
2.17,-0.000,0.000,0.866,2.70,0.85,0,0
2.33,-0.000,0.000,0.896,2.61,0.88,0,0
2.51,-0.000,0.000,0.922,2.55,0.91,0,0
2.63,-0.000,0.000,0.950,2.52,0.93,0,0
2.74,-0.000,0.000,0.958,2.48,0.94,0,0
2.90,0.000,0.000,0.968,2.48,0.95,0,0
3.06,0.000,0.000,0.976,2.43,0.96,0,0
3.26,0.000,-0.000,0.985,2.32,0.97,0,0
3.42,0.000,-0.000,0.991,2.26,0.97,0,0
3.59,0.000,-0.000,0.995,2.22,0.98,0,0
3.76,0.000,-0.000,0.997,2.15,0.98,0,0
3.87,0.000,-0.000,0.999,2.15,0.98,0,0
4.03,0.000,-0.000,1.000,2.11,0.98,0,0
4.15,0.000,-0.000,1.000,2.02,0.98,0,0
4.29,0.000,-0.000,1.001,2.02,0.98,0,0
4.41,0.000,-0.000,1.001,1.97,0.98,0,0
4.63,0.000,-0.000,1.001,1.94,0.98,0,0
4.80,0.000,-0.000,1.001,1.87,0.98,0,0
4.94,0.000,-0.000,1.001,1.82,0.98,0,0
5.09,0.000,-0.000,1.001,1.78,0.98,0,0
5.22,-0.000,-0.000,1.001,1.73,0.98,0,0
5.33,-0.000,-0.000,1.001,1.67,0.98,0,0
5.43,-0.000,-0.000,1.000,1.65,0.98,0,0
5.55,-0.000,-0.000,1.000,1.65,0.98,0,0
5.68,-0.000,-0.000,1.000,1.62,0.98,0,0
5.83,-0.000,-0.000,1.000,1.59,0.98,0,0
5.88,-0.000,-0.000,1.000,1.56,0.98,0,0
6.02,-0.000,-0.000,1.000,1.55,0.98,0,0
6.15,-0.000,-0.000,1.000,1.53,0.98,0,0
6.23,-0.000,-0.000,1.000,1.50,0.98,0,0
6.37,-0.000,-0.000,1.000,1.48,0.98,0,0
6.45,-0.000,-0.000,1.000,1.47,0.98,0,0
6.60,-0.000,-0.000,1.000,1.47,0.99,0,0
6.77,-0.000,-0.000,1.000,1.44,0.99,0,0
6.94,-0.000,-0.000,1.000,1.44,0.99,0,0
7.10,-0.000,-0.000,1.000,1.44,0.99,0,0
7.22,0.000,0.000,0.000,1.58,1.99,0,0
7.37,0.000,0.000,0.000,1.58,1.99,0,0
7.49,0.000,0.000,0.000,1.58,1.99,0,0
7.65,0.000,0.000,0.000,1.59,1.99,0,0
7.79,0.000,0.000,0.000,1.60,1.99,0,0
8.00,0.000,0.000,0.000,1.63,1.99,0,0
8.08,0.000,0.000,0.000,1.64,1.99,0,0
8.23,0.000,0.000,0.000,1.66,1.99,0,0
8.38,0.000,0.000,0.000,1.69,1.99,0,0
8.46,0.000,0.000,0.000,1.69,1.99,0,0
8.59,0.000,0.000,0.000,1.70,1.99,0,0
8.74,0.000,0.000,0.000,1.72,1.99,0,0
8.81,0.000,0.000,0.000,1.76,1.99,0,0
8.94,0.000,0.000,0.000,1.79,1.99,0,0
9.08,0.000,0.000,0.000,1.82,1.99,0,0
9.22,0.000,0.000,0.000,1.82,1.99,0,0
9.37,0.000,0.000,0.000,1.89,1.99,0,0
9.42,0.000,0.000,0.000,1.89,1.99,0,0
9.59,0.000,0.000,0.000,1.94,1.99,0,0
9.71,0.000,0.000,0.000,1.97,1.99,0,0
9.80,0.000,0.000,0.000,1.97,1.99,0,0
9.91,0.000,0.000,0.000,2.01,1.99,0,0
10.03,0.000,0.000,0.000,2.04,1.99,0,0
10.19,0.000,0.000,0.000,2.08,1.99,0,0
10.35,0.000,0.000,0.000,2.12,1.99,0,0
10.53,0.000,0.000,0.000,2.16,1.99,0,0
10.65,0.000,0.000,0.000,2.19,1.99,0,0
10.83,0.000,0.000,0.000,2.19,1.99,0,0
10.99,0.000,0.000,0.000,2.24,1.99,0,0
11.17,0.000,0.000,0.000,2.28,1.99,0,0
11.33,0.000,0.000,0.000,2.32,1.99,0,0
11.47,0.000,0.000,0.000,2.38,1.99,0,0
11.59,0.000,0.000,0.000,2.38,1.99,0,0
11.72,0.000,0.000,0.000,2.42,1.99,0,0
11.85,0.000,0.000,0.000,2.45,1.99,0,0
12.03,0.000,0.000,0.000,2.45,1.99,0,0
12.17,0.000,0.000,0.000,2.48,1.99,0,0
12.32,0.000,0.000,0.000,2.50,1.99,0,0
12.49,0.000,0.000,0.000,2.52,1.99,0,0
12.65,0.000,0.000,0.000,2.54,1.99,0,0
12.82,0.000,0.000,0.000,2.57,1.99,0,0
12.91,0.000,0.000,0.000,2.57,1.99,0,0
13.06,0.000,0.000,0.000,2.59,1.99,0,0
13.19,0.000,0.000,0.000,2.59,1.99,0,0
13.31,0.000,0.000,0.000,2.59,1.99,0,0
13.43,0.000,0.000,0.000,2.60,1.99,0,0
13.56,0.000,0.000,0.000,2.60,1.99,0,0
13.77,0.000,0.000,0.000,2.60,1.99,0,0
13.92,0.000,0.000,0.000,2.59,1.99,0,0
14.08,0.000,0.000,0.000,2.59,1.99,0,0
14.23,0.000,0.000,0.000,2.58,1.99,0,0
14.38,0.000,0.000,0.000,2.57,1.99,0,0
14.52,0.000,0.000,0.000,2.55,1.99,0,0
14.63,0.000,0.000,0.000,2.54,1.99,0,0
14.75,0.000,0.000,0.000,2.53,1.99,0,0
14.82,0.000,0.000,0.000,2.50,1.99,0,0
15.01,0.000,0.000,0.000,2.47,1.99,0,0
15.16,0.000,0.000,0.000,2.44,1.99,0,0
15.33,0.000,0.000,0.000,2.44,1.99,0,0
15.48,0.000,0.000,0.000,2.41,1.99,0,0
15.56,0.000,0.000,0.000,2.37,1.99,0,0
15.71,0.000,0.000,0.000,2.37,1.99,0,0
15.86,0.000,0.000,0.000,2.34,1.99,0,0
15.98,0.000,0.000,0.000,2.31,1.99,0,0
16.16,0.000,0.000,0.000,2.28,1.99,0,0
16.27,0.000,0.000,0.000,2.24,1.99,0,0
16.39,0.000,0.000,0.000,2.19,1.99,0,0
16.53,0.000,0.000,0.000,2.15,1.99,0,0
16.69,0.000,0.000,0.000,2.15,1.99,0,0
16.84,0.000,0.000,0.000,2.11,1.99,0,0
16.98,0.000,0.000,0.000,2.04,1.99,0,0
17.09,0.000,0.000,0.000,2.04,1.99,0,0
17.23,0.000,0.000,0.000,2.02,1.99,0,0
17.37,0.000,0.000,0.000,1.98,1.99,0,0
17.48,0.000,0.000,0.000,1.95,1.99,0,0
17.54,0.000,0.000,0.000,1.91,1.99,0,0
17.69,0.000,0.000,0.000,1.88,1.99,0,0
17.75,0.000,0.000,0.000,1.86,1.99,0,0
17.86,0.000,0.000,0.000,1.86,1.99,0,0
17.99,0.000,0.000,0.000,1.83,1.99,0,0
18.13,0.000,0.000,0.000,1.78,1.99,0,0
18.28,0.000,0.000,0.000,1.78,1.99,0,0
18.39,0.000,0.000,0.000,1.74,1.99,0,0
18.59,0.000,0.000,0.000,1.72,1.99,0,0
18.74,0.000,0.000,0.000,1.69,1.99,0,0
18.92,0.000,0.000,0.000,1.64,1.99,0,0
19.03,0.000,0.000,0.000,1.64,1.99,0,0
19.16,0.000,0.000,0.000,1.62,1.99,0,0
19.32,0.000,0.000,0.000,1.60,1.99,0,0
19.45,0.000,0.000,0.000,1.60,1.99,0,0
19.53,0.000,0.000,0.000,1.59,1.99,0,0
19.67,0.000,0.000,0.000,1.58,1.99,0,0
19.82,0.000,0.000,0.000,1.58,1.99,0,0
19.97,0.000,0.000,0.000,1.58,1.99,0,0
20.14,0.000,0.000,0.000,1.58,1.99,0,0
20.27,0.000,0.000,0.000,1.58,1.99,0,0
20.39,0.000,0.000,0.000,1.59,1.99,0,0
20.52,0.000,0.000,0.000,1.60,1.99,0,0
20.67,0.000,0.000,0.000,1.61,1.99,0,0
20.77,0.000,0.000,0.000,1.64,1.99,0,0
20.90,0.000,0.000,0.000,1.65,1.99,0,0
21.07,0.000,0.000,0.000,1.65,1.99,0,0
21.23,0.000,0.000,0.000,1.68,1.99,0,0
21.38,0.000,0.000,0.000,1.74,1.99,0,0
21.56,0.000,0.000,0.000,1.74,1.99,0,0
21.66,0.000,0.000,0.000,1.78,1.99,0,0
21.81,0.000,0.000,0.000,1.80,1.99,0,0
21.96,0.000,0.000,0.000,1.84,1.99,0,0
22.10,0.000,0.000,0.000,1.88,1.99,0,0
22.24,0.000,0.000,0.000,1.92,1.99,0,0
22.39,0.000,0.000,0.000,1.95,1.99,0,0
22.53,0.000,0.000,0.000,2.04,1.99,0,0
22.68,0.000,0.000,0.000,2.04,1.99,0,0
