time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.07,0.000,-0.000,0.019,9.13,0.00,0,0
0.21,0.000,-0.000,0.019,9.10,0.00,0,0
0.28,0.000,-0.000,0.021,9.09,0.00,0,0
0.38,0.001,-0.001,0.045,9.07,0.03,0,0
0.48,0.001,-0.001,0.085,9.05,0.07,0,0
0.61,0.000,-0.002,0.151,9.02,0.13,0,0
0.71,0.000,-0.003,0.205,8.99,0.19,0,0
0.81,-0.000,-0.004,0.280,8.97,0.26,0,0
0.89,-0.000,-0.004,0.330,8.95,0.31,0,0
0.98,-0.001,-0.004,0.397,8.93,0.38,0,0
1.11,-0.001,-0.004,0.465,8.90,0.45,0,0
1.19,-0.001,-0.004,0.538,8.88,0.52,0,0
1.28,-0.001,-0.004,0.583,8.85,0.56,0,0
1.41,-0.001,-0.004,0.637,8.82,0.62,0,0
1.48,-0.000,-0.003,0.684,8.80,0.66,0,0
1.59,-0.000,-0.003,0.734,8.77,0.71,0,0
1.68,-0.000,-0.002,0.782,8.75,0.76,0,0
1.79,-0.000,-0.002,0.807,8.72,0.79,0,0
1.91,-0.000,-0.001,0.846,8.69,0.83,0,0
2.01,-0.000,-0.001,0.872,8.66,0.85,0,0
2.11,-0.000,-0.001,0.887,8.62,0.87,0,0
2.18,-0.000,-0.001,0.905,8.59,0.89,0,0
2.28,-0.000,-0.001,0.922,8.55,0.90,0,0
2.39,-0.000,-0.000,0.936,8.52,0.92,0,0
2.51,-0.000,-0.000,0.943,8.48,0.92,0,0
2.58,-0.000,-0.000,0.958,8.45,0.94,0,0
2.71,-0.000,0.000,0.967,8.41,0.95,0,0
2.78,-0.000,0.000,0.974,8.37,0.96,0,0
2.91,0.000,0.000,0.979,8.33,0.96,0,0
2.98,0.000,0.000,0.984,8.29,0.96,0,0
3.11,0.000,0.000,0.987,8.25,0.97,0,0
3.21,0.000,0.000,0.990,8.20,0.97,0,0
3.29,0.000,0.001,0.993,8.16,0.97,0,0
3.40,0.000,0.001,0.995,8.11,0.98,0,0
3.51,0.000,0.000,0.996,8.08,0.98,0,0
3.61,0.000,0.000,0.998,8.03,0.98,0,0
3.69,0.000,0.000,0.999,7.99,0.98,0,0
3.81,0.000,0.000,0.999,7.95,0.98,0,0
3.91,0.000,0.000,1.000,7.90,0.98,0,0
4.01,0.000,0.000,1.000,7.85,0.98,0,0
4.11,0.000,0.000,1.000,7.81,0.98,0,0
4.19,0.000,0.000,1.001,7.76,0.98,0,0
4.28,0.000,0.000,1.001,7.71,0.98,0,0
4.41,0.000,0.000,1.001,7.67,0.98,0,0
4.51,0.000,0.000,1.001,7.62,0.98,0,0
4.58,0.000,0.000,1.001,7.57,0.98,0,0
4.68,0.000,0.000,1.001,7.51,0.98,0,0
4.79,0.000,0.000,1.001,7.46,0.98,0,0
4.91,0.000,-0.000,1.001,7.41,0.98,0,0
5.01,0.000,-0.000,1.001,7.35,0.98,0,0
5.08,0.000,-0.000,1.001,7.31,0.98,0,0
5.22,0.000,-0.000,1.001,7.25,0.98,0,0
5.28,0.000,-0.000,1.000,7.21,0.98,0,0
5.41,0.000,-0.000,1.000,7.14,0.98,0,0
5.47,0.000,-0.000,1.000,7.10,0.98,0,0
5.57,0.000,-0.000,1.000,7.05,0.98,0,0
5.68,-0.003,-0.002,1.002,6.99,0.99,0,0
5.78,-0.016,-0.007,1.005,6.93,1.00,0,0
5.88,-0.040,-0.015,1.008,6.85,1.03,0,0
5.98,-0.067,-0.023,1.010,6.77,1.05,0,0
6.08,-0.158,-0.039,1.017,6.62,1.15,0,0
6.18,-0.225,-0.045,1.021,6.50,1.21,0,0
6.28,-0.309,-0.048,1.027,6.36,1.30,0,0
6.37,-0.405,-0.050,1.033,6.22,1.39,0,0
6.47,-0.499,-0.051,1.037,6.07,1.49,0,0
6.57,-0.618,-0.053,1.043,5.89,1.61,0,0
6.67,-0.711,-0.053,1.046,5.74,1.70,0,0
6.77,-0.933,-0.053,1.053,5.47,1.92,0,0
6.87,-1.085,-0.052,1.057,5.26,2.08,0,0
6.97,-1.224,-0.051,1.060,5.07,2.21,0,0
7.08,-1.389,-0.051,1.063,4.85,2.38,0,0
7.18,-1.545,-0.051,1.065,4.64,2.54,0,0
7.28,-1.683,-0.050,1.066,4.45,2.67,0,0
7.38,-1.804,-0.050,1.067,4.27,2.80,0,0
7.47,-1.932,-0.050,1.067,4.09,2.92,0,0
7.58,-2.064,-0.050,1.067,3.90,3.05,0,0
7.68,-2.222,-0.050,1.067,3.69,3.21,0,0
7.78,-2.371,-0.050,1.066,3.49,3.36,0,0
7.88,-2.503,-0.050,1.065,3.30,3.49,0,0
7.98,-2.728,-0.050,1.062,3.03,3.72,0,0
8.08,-2.789,-0.050,1.062,2.91,3.78,0,0
8.18,-2.954,-0.050,1.059,2.69,3.94,0,0
8.28,-3.078,-0.050,1.057,2.52,4.07,0,0
8.37,-3.237,-0.050,1.054,2.31,4.23,0,0
8.48,-3.328,-0.050,1.053,2.16,4.32,0,0
8.59,-3.550,-0.050,1.053,1.90,4.54,0,0
8.68,-3.670,-0.050,1.053,1.74,4.66,0,0
8.78,-3.812,-0.050,1.054,1.56,4.80,0,0
8.88,-3.953,-0.051,1.057,1.38,4.94,0,0
8.98,-4.141,-0.051,1.067,1.18,5.13,0,0
9.08,-4.285,-0.050,1.080,1.02,5.28,0,0
9.18,-4.414,-0.048,1.097,0.89,5.41,0,0
9.28,-4.583,-0.046,1.120,0.75,5.58,0,0
9.38,-4.697,-0.044,1.133,0.66,5.69,0,0
9.47,-4.852,-0.044,1.154,0.58,5.85,0,0
9.60,-4.984,-0.050,1.176,0.53,5.98,0,0
9.68,-5.108,-0.065,1.201,0.53,6.11,0,0
9.77,-5.230,-0.095,1.233,0.55,6.24,0,0
9.88,-5.359,-0.151,1.275,0.62,6.39,0,0
9.97,-5.415,-0.181,1.295,0.67,6.45,0,0
10.08,-5.559,-0.249,1.342,0.80,6.62,0,0
10.18,-5.652,-0.265,1.364,0.88,6.72,0,0
10.27,-5.803,-0.256,1.387,1.01,6.87,0,0
