time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.08,-0.000,-0.000,0.021,0.73,0.01,0,0
0.18,-0.000,-0.000,0.020,0.73,0.01,0,0
0.30,-0.001,-0.001,0.023,0.72,0.01,0,0
0.40,-0.002,-0.004,0.043,0.71,0.03,0,0
0.50,-0.005,-0.011,0.084,0.68,0.07,0,0
0.60,-0.008,-0.020,0.142,0.64,0.13,0,0
0.70,-0.011,-0.026,0.183,0.62,0.17,0,0
0.80,-0.014,-0.036,0.257,0.57,0.25,0,0
0.90,-0.017,-0.044,0.336,0.53,0.33,0,0
1.00,-0.018,-0.048,0.389,0.51,0.38,0,0
1.10,-0.018,-0.050,0.458,0.48,0.45,0,0
1.20,-0.018,-0.049,0.531,0.45,0.52,0,0
1.30,-0.017,-0.047,0.581,0.43,0.57,0,0
1.40,-0.016,-0.043,0.636,0.40,0.63,0,1
1.50,-0.014,-0.037,0.692,0.37,0.68,0,1
1.60,-0.013,-0.034,0.725,0.34,0.72,0,1
1.70,-0.011,-0.029,0.769,0.31,0.76,0,1
1.80,-0.009,-0.024,0.809,0.29,0.80,0,1
1.90,-0.008,-0.021,0.829,0.26,0.82,0,1
2.00,-0.007,-0.017,0.859,0.24,0.85,0,1
2.10,-0.006,-0.014,0.886,0.22,0.88,0,1
2.20,-0.005,-0.012,0.900,0.20,0.89,0,1
2.30,-0.004,-0.009,0.919,0.18,0.91,0,1
2.40,-0.003,-0.006,0.935,0.15,0.93,0,1
2.50,-0.002,-0.005,0.944,0.14,0.94,0,1
2.60,-0.001,-0.002,0.956,0.12,0.95,0,1
2.70,-0.000,0.000,0.966,0.10,0.96,0,1
2.80,0.000,0.001,0.971,0.09,0.97,0,1
2.90,0.001,0.003,0.978,0.07,0.97,0,1
3.00,0.001,0.004,0.982,0.06,0.98,0,1
3.10,0.002,0.005,0.987,0.06,0.98,0,1
3.20,0.002,0.005,0.989,0.05,0.99,0,1
3.30,0.002,0.006,0.992,0.05,0.99,0,1
3.40,0.002,0.006,0.994,0.05,0.99,0,1
3.51,0.002,0.006,0.996,0.06,0.99,0,1
3.60,0.002,0.006,0.997,0.07,0.99,0,1
3.70,0.002,0.005,0.998,0.08,0.99,0,1
3.80,0.002,0.005,0.999,0.10,1.00,0,1
3.90,0.002,0.005,1.000,0.12,1.00,0,1
4.00,0.002,0.004,1.000,0.14,1.00,0,1
4.10,0.001,0.004,1.000,0.17,1.00,0,1
4.20,0.001,0.003,1.001,0.20,1.00,0,1
4.30,0.001,0.003,1.001,0.23,1.00,0,1
4.40,0.001,0.002,1.001,0.27,1.00,0,1
4.50,0.001,0.002,1.001,0.31,1.00,0,1
4.60,0.001,0.001,1.001,0.35,1.00,0,1
4.70,0.000,0.001,1.001,0.39,1.00,0,1
4.80,0.000,0.001,1.001,0.43,1.00,0,0
4.90,0.000,0.000,1.001,0.44,1.00,0,0
5.00,0.000,-0.000,1.001,0.44,1.00,0,0
5.10,-0.000,-0.000,1.001,0.45,1.00,0,0
5.20,-0.000,-0.001,1.001,0.45,1.00,0,0
5.29,-0.000,-0.001,1.000,0.46,1.00,0,0
5.38,-0.000,-0.001,1.000,0.47,1.00,0,0
5.48,-0.000,-0.001,1.000,0.47,1.00,0,0
5.59,-0.000,-0.001,1.000,0.48,1.00,0,0
5.69,-0.000,-0.001,1.000,0.49,1.00,0,0
5.79,-0.000,-0.001,1.000,0.50,1.00,0,0
5.88,-0.000,-0.001,1.000,0.51,1.00,0,0
5.98,-0.000,-0.001,1.000,0.52,1.00,0,0
6.09,-0.000,-0.001,1.000,0.53,1.00,0,0
6.19,-0.000,-0.001,1.000,0.54,1.00,0,0
6.29,-0.000,-0.001,1.000,0.55,1.00,0,0
6.39,-0.000,-0.001,1.000,0.56,1.00,0,0
6.48,-0.000,-0.001,1.000,0.58,1.00,0,0
6.59,-0.000,-0.001,1.000,0.59,1.00,0,0
6.68,-0.000,-0.001,1.000,0.60,1.00,0,0
6.78,-0.000,-0.001,1.000,0.62,1.00,0,0
6.88,-0.000,-0.001,1.000,0.63,1.00,0,0
6.98,-0.000,-0.001,1.000,0.65,1.00,0,0
7.08,-0.000,-0.001,1.000,0.66,1.00,0,0
7.18,-0.000,-0.001,1.000,0.68,1.00,0,0
7.28,-0.002,-0.001,1.001,0.70,1.01,0,0
7.38,-0.015,-0.001,1.003,0.73,1.02,0,0
7.48,-0.049,-0.006,1.005,0.78,1.05,0,0
7.58,-0.094,-0.014,1.007,0.84,1.10,0,0
7.68,-0.141,-0.024,1.010,0.90,1.15,0,0
7.78,-0.209,-0.038,1.014,0.99,1.22,0,0
7.88,-0.289,-0.046,1.019,1.09,1.30,0,0
7.98,-0.354,-0.050,1.022,1.17,1.36,0,0
8.09,-0.469,-0.056,1.028,1.31,1.48,0,0
8.19,-0.556,-0.061,1.032,1.42,1.56,0,0
8.29,-0.694,-0.067,1.038,1.43,1.70,0,0
8.38,-0.843,-0.067,1.044,1.40,1.85,0,0
8.48,-0.942,-0.065,1.047,1.40,1.95,0,0
8.58,-1.106,-0.061,1.052,1.41,2.12,0,0
8.68,-1.252,-0.059,1.056,1.44,2.26,0,0
8.78,-1.409,-0.055,1.060,1.46,2.42,0,0
8.88,-1.515,-0.051,1.063,1.36,2.52,0,0
8.98,-1.657,-0.044,1.066,1.24,2.67,0,0
9.08,-1.773,-0.037,1.069,1.12,2.78,0,0
9.18,-1.897,-0.029,1.072,0.97,2.91,0,0
9.28,-1.994,-0.022,1.075,0.84,3.00,0,0
9.38,-2.054,-0.017,1.076,0.74,3.07,0,0
9.48,-2.137,-0.008,1.078,0.63,3.15,0,0
9.58,-2.188,-0.004,1.079,0.55,3.20,0,0
9.68,-2.257,-0.009,1.079,0.45,3.27,0,0
9.78,-2.331,-0.035,1.078,0.34,3.35,0,1
9.88,-2.406,-0.080,1.075,0.21,3.44,0,1
9.99,-2.457,-0.118,1.073,0.10,3.50,0,1
10.08,-2.533,-0.185,1.069,0.00,3.60,0,1
10.18,-2.608,-0.266,1.066,0.00,3.71,0,1
10.28,-2.662,-0.330,1.063,0.00,3.79,0,1
10.38,-2.748,-0.436,1.058,0.00,3.93,0,1
10.48,-2.817,-0.517,1.055,0.00,4.04,0,1
10.58,-2.935,-0.634,1.051,0.00,4.20,0,1
10.68,-3.058,-0.734,1.047,0.00,4.36,0,1
10.78,-3.178,-0.821,1.043,0.00,4.51,0,1
10.88,-3.273,-0.891,1.041,0.00,4.63,0,1
10.98,-3.397,-0.989,1.038,0.17,4.79,0,1
11.08,-3.512,-1.105,1.036,0.37,4.95,0,1
11.18,-3.587,-1.192,1.035,0.53,5.07,0,0
11.28,-3.692,-1.322,1.033,0.74,5.23,0,0
11.38,-3.799,-1.453,1.032,0.95,5.40,0,0
11.48,-3.878,-1.539,1.031,1.12,5.52,0,0
11.58,-3.995,-1.647,1.030,1.34,5.68,0,0
11.68,-4.110,-1.742,1.030,1.55,5.83,0,0
11.78,-4.181,-1.801,1.029,1.70,5.92,0,0
11.88,-4.314,-1.922,1.030,1.95,6.10,0,0
11.98,-4.397,-2.009,1.031,2.13,6.22,0,0
12.08,-4.502,-2.131,1.032,2.30,6.38,0,0
12.18,-4.610,-2.261,1.033,2.41,6.55,0,0
12.28,-4.722,-2.394,1.035,2.53,6.72,0,0
12.38,-4.802,-2.482,1.037,2.60,6.84,0,0
12.48,-4.889,-2.570,1.038,2.67,6.97,0,0
12.58,-5.031,-2.699,1.040,2.63,7.16,0,0
12.68,-5.148,-2.800,1.042,2.47,7.31,0,0
12.79,-5.281,-2.917,1.044,2.31,7.49,0,0
12.88,-5.374,-3.000,1.045,2.20,7.61,0,0
12.98,-5.505,-3.122,1.047,2.06,7.79,0,0
13.08,-5.590,-3.202,1.048,1.97,7.91,0,0
13.18,-5.711,-3.318,1.049,1.87,8.08,0,0
13.28,-5.814,-3.417,1.050,1.79,8.22,0,0
13.38,-5.880,-3.485,1.051,1.75,8.32,0,0
13.48,-5.991,-3.607,1.052,1.70,8.48,0,0
13.58,-6.097,-3.737,1.052,1.69,8.65,0,0
13.68,-6.171,-3.833,1.053,1.69,8.77,0,0
13.78,-6.283,-3.975,1.053,1.72,8.95,0,0
13.88,-6.398,-4.115,1.053,1.76,9.13,0,0
13.98,-6.478,-4.208,1.052,1.81,9.25,0,0
14.08,-6.589,-4.329,1.052,1.88,9.42,0,0
14.18,-6.699,-4.441,1.052,1.96,9.58,0,0
14.29,-6.782,-4.520,1.051,2.03,9.69,0,0
14.38,-6.905,-4.627,1.051,2.07,9.85,0,0
14.48,-7.026,-4.710,1.051,2.08,10.00,0,0
14.59,-7.120,-4.758,1.051,2.10,10.11,0,0
14.68,-7.273,-4.813,1.050,2.09,10.27,0,0
14.78,-7.427,-4.851,1.050,1.98,10.43,0,0
14.88,-7.518,-4.868,1.049,1.91,10.52,0,0
14.98,-7.685,-4.892,1.049,1.83,10.69,0,0
15.08,-7.840,-4.908,1.048,1.75,10.84,0,0
15.19,-7.956,-4.918,1.048,1.69,10.96,0,0
15.28,-8.114,-4.929,1.047,1.63,11.12,0,0
15.38,-8.230,-4.936,1.047,1.58,11.23,0,0
15.48,-8.386,-4.945,1.047,1.53,11.39,0,0
15.59,-8.544,-4.961,1.046,1.49,11.55,0,0
15.68,-8.683,-4.985,1.046,1.43,11.69,0,0
15.78,-8.774,-5.008,1.046,1.38,11.78,0,0
