time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.02,0.000,0.000,-0.994,999.00,0.00,0,0
0.12,0.000,0.000,-1.591,999.00,0.60,0,0
0.22,0.000,0.000,-2.057,999.00,1.06,0,0
0.32,0.000,0.000,-2.777,999.00,1.78,0,0
0.42,0.000,0.000,-3.112,999.00,2.12,0,0
0.52,0.000,0.000,-3.351,999.00,2.36,0,0
0.62,0.000,0.000,-3.392,999.00,2.41,0,0
0.72,0.000,0.000,-3.342,999.00,2.46,0,0
0.82,0.000,0.000,-3.138,999.00,2.66,0,0
0.92,0.000,0.000,-2.955,999.00,2.84,0,0
1.02,0.000,0.000,-2.649,999.00,3.15,0,0
1.12,0.000,0.000,-2.311,999.00,3.49,0,0
1.22,0.000,0.000,-2.074,999.00,3.72,0,0
1.32,0.000,0.000,-1.721,999.00,4.08,0,0
1.42,0.000,0.000,-1.390,999.00,4.41,0,0
1.52,0.000,0.000,-1.173,999.00,4.63,0,0
1.62,0.000,0.000,-0.852,999.00,4.95,0,0
1.72,0.000,0.000,-0.659,999.00,5.14,0,0
1.82,0.000,0.000,-0.459,999.00,5.34,0,0
1.92,0.000,0.000,-0.222,999.00,5.58,0,0
2.02,0.000,0.000,-0.073,999.00,5.73,0,0
2.12,0.000,0.000,0.121,999.00,5.92,0,0
2.22,0.000,0.000,0.231,999.00,6.03,0,0
2.32,0.000,0.000,0.374,999.00,6.17,0,0
2.42,0.000,0.000,0.457,999.00,6.26,0,0
2.52,0.000,0.000,0.560,999.00,6.36,0,0
2.62,0.000,0.000,0.630,999.00,6.43,0,0
2.72,0.000,0.000,0.688,999.00,6.49,0,0
2.82,0.000,0.000,0.742,999.00,6.54,0,0
2.92,0.000,0.000,0.804,999.00,6.60,0,0
3.02,0.000,0.000,0.836,999.00,6.63,0,0
3.12,0.000,0.000,0.874,999.00,6.67,0,0
3.22,0.000,0.000,0.901,999.00,6.70,0,0
3.32,0.000,0.000,0.919,999.00,6.72,0,0
3.42,0.000,0.000,0.941,999.00,6.74,0,0
3.52,0.000,0.000,0.954,999.00,6.75,0,0
