time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.08,0.000,-0.000,0.019,0.71,0.00,0,0
0.20,-0.000,-0.000,0.019,0.70,0.00,0,0
0.29,-0.001,-0.001,0.028,0.68,0.01,0,0
0.40,-0.001,-0.003,0.062,0.65,0.04,0,0
0.50,-0.001,-0.004,0.095,0.62,0.08,0,0
0.60,-0.002,-0.005,0.155,0.58,0.14,0,0
0.70,-0.003,-0.005,0.222,0.53,0.20,0,0
0.80,-0.003,-0.006,0.293,0.49,0.27,0,0
0.90,-0.004,-0.005,0.364,0.45,0.35,0,0
1.00,-0.004,-0.005,0.430,0.40,0.41,0,0
1.10,-0.004,-0.005,0.504,0.36,0.48,0,1
1.20,-0.004,-0.004,0.549,0.33,0.53,0,1
1.30,-0.004,-0.004,0.610,0.30,0.59,0,1
1.40,-0.003,-0.003,0.664,0.27,0.65,0,1
1.50,-0.003,-0.003,0.715,0.25,0.70,0,1
1.59,-0.002,-0.002,0.760,0.22,0.74,0,1
1.70,-0.002,-0.002,0.782,0.20,0.76,0,1
1.80,-0.002,-0.002,0.821,0.18,0.80,0,1
1.90,-0.002,-0.001,0.845,0.16,0.83,0,1
2.00,-0.001,-0.001,0.872,0.14,0.85,0,1
2.10,-0.001,-0.001,0.897,0.12,0.88,0,1
2.20,-0.001,-0.001,0.910,0.11,0.89,0,1
2.30,-0.001,-0.000,0.928,0.09,0.91,0,1
2.40,-0.000,-0.000,0.941,0.08,0.92,0,1
2.50,-0.000,0.000,0.950,0.07,0.93,0,1
2.60,-0.000,0.000,0.960,0.06,0.94,0,1
2.70,0.000,0.000,0.969,0.05,0.95,0,1
2.80,0.000,0.001,0.976,0.05,0.96,0,1
2.90,0.000,0.001,0.981,0.05,0.96,0,1
3.00,0.000,0.001,0.985,0.05,0.97,0,1
3.10,0.000,0.001,0.988,0.05,0.97,0,1
3.20,0.000,0.001,0.991,0.06,0.97,0,1
3.30,0.000,0.001,0.993,0.08,0.97,0,1
3.40,0.000,0.001,0.995,0.09,0.98,0,1
3.50,0.000,0.001,0.997,0.11,0.98,0,1
3.60,0.000,0.000,0.998,0.13,0.98,0,1
3.70,0.000,0.000,0.999,0.16,0.98,0,1
3.80,0.000,0.000,1.000,0.19,0.98,0,1
3.90,0.000,0.000,1.000,0.23,0.98,0,1
4.00,0.000,0.000,1.000,0.26,0.98,0,1
4.10,0.000,0.000,1.001,0.30,0.98,0,1
4.20,0.000,0.000,1.001,0.34,0.98,0,1
4.30,0.000,0.000,1.001,0.39,0.98,0,1
4.39,0.000,0.000,1.001,0.43,0.98,0,0
4.50,0.000,0.000,1.001,0.44,0.98,0,0
4.60,0.000,0.000,1.001,0.44,0.98,0,0
4.70,0.000,-0.000,1.001,0.45,0.98,0,0
4.80,0.000,-0.000,1.001,0.45,0.98,0,0
4.90,0.000,-0.000,1.001,0.46,0.98,0,0
5.00,0.000,-0.000,1.001,0.47,0.98,0,0
5.10,-0.000,-0.000,1.001,0.47,0.98,0,0
5.18,-0.000,-0.000,1.001,0.48,0.98,0,0
5.28,-0.000,-0.000,1.000,0.49,0.98,0,0
5.38,-0.000,-0.000,1.000,0.50,0.98,0,0
5.48,-0.000,-0.000,1.000,0.51,0.98,0,0
5.58,-0.000,-0.000,1.000,0.52,0.98,0,0
5.68,-0.000,-0.000,1.000,0.53,0.98,0,0
5.78,-0.000,-0.000,1.000,0.54,0.98,0,0
5.88,-0.000,-0.000,1.000,0.55,0.98,0,0
5.98,-0.000,-0.000,1.000,0.56,0.98,0,0
6.08,-0.000,-0.000,1.000,0.57,0.98,0,0
6.18,-0.000,-0.000,1.000,0.59,0.98,0,0
6.28,-0.000,-0.000,1.000,0.60,0.98,0,0
6.38,-0.000,-0.000,1.000,0.61,0.98,0,0
6.48,-0.000,-0.000,1.000,0.63,0.98,0,0
6.58,-0.000,-0.000,1.000,0.64,0.98,0,0
6.68,-0.000,-0.000,1.000,0.66,0.98,0,0
6.78,-0.000,-0.000,1.000,0.68,0.98,0,0
6.88,-0.000,-0.000,1.000,0.69,0.98,0,0
6.98,-0.000,-0.000,1.000,0.71,0.98,0,0
7.08,-0.000,-0.000,1.000,0.73,0.98,0,0
7.18,0.000,-0.000,1.000,0.75,0.98,0,0
7.28,0.000,-0.000,1.000,0.77,0.98,0,0
7.38,0.000,-0.000,1.000,0.79,0.98,0,0
7.48,0.000,-0.000,1.000,0.81,0.98,0,0
7.58,0.000,-0.000,1.000,0.83,0.98,0,0
7.68,0.000,-0.000,1.000,0.85,0.98,0,0
7.78,0.000,-0.000,1.000,0.87,0.98,0,0
7.88,0.000,-0.000,1.000,0.89,0.98,0,0
7.98,0.000,-0.000,1.000,0.91,0.98,0,0
8.08,0.000,-0.000,1.000,0.94,0.98,0,0
8.18,0.000,-0.000,1.000,0.96,0.98,0,0
8.28,0.000,-0.000,1.000,0.98,0.98,0,0
8.38,0.000,-0.000,1.000,1.01,0.98,0,0
8.48,0.000,-0.000,1.000,1.03,0.98,0,0
8.58,0.000,-0.000,1.000,1.06,0.98,0,0
8.68,0.000,-0.000,1.000,1.08,0.98,0,0
8.78,0.000,-0.000,1.000,1.11,0.98,0,0
8.88,0.000,-0.000,1.000,1.14,0.98,0,0
8.98,0.000,-0.000,1.000,1.16,0.98,0,0
9.08,0.000,-0.000,1.000,1.19,0.98,0,0
9.18,0.000,-0.000,1.000,1.22,0.98,0,0
9.28,0.000,-0.000,1.000,1.25,0.98,0,0
9.38,0.000,-0.000,1.000,1.28,0.98,0,0
9.48,0.000,-0.000,1.000,1.31,0.98,0,0
9.58,0.000,-0.000,1.000,1.34,0.98,0,0
9.68,0.000,-0.000,1.000,1.37,0.98,0,0
9.78,0.000,-0.000,1.000,1.40,0.98,0,0
9.88,0.000,-0.000,1.000,1.43,0.98,0,0
9.98,0.000,-0.000,1.000,1.46,0.98,0,0
10.08,0.000,-0.000,1.000,1.49,0.98,0,0
10.18,0.000,-0.000,1.000,1.52,0.98,0,0
10.28,0.000,-0.000,1.000,1.55,0.98,0,0
10.38,0.000,-0.000,1.000,1.55,0.98,0,0
10.49,0.000,-0.000,1.000,1.55,0.98,0,0
10.58,0.000,-0.000,1.000,1.54,0.98,0,0
10.68,0.000,-0.000,1.000,1.48,0.98,0,0
10.78,0.000,-0.000,1.000,1.42,0.98,0,0
10.88,0.000,-0.000,1.000,1.35,0.98,0,0
10.99,0.000,-0.000,1.000,1.28,0.98,0,0
11.08,0.000,-0.000,1.000,1.22,0.98,0,0
11.18,0.000,-0.000,1.000,1.15,0.98,0,0
11.28,0.000,-0.000,1.000,1.08,0.98,0,0
11.38,0.000,-0.000,1.000,1.02,0.98,0,0
11.48,0.000,-0.000,1.000,0.95,0.98,0,0
11.58,0.000,-0.000,1.000,0.88,0.98,0,0
11.68,0.000,-0.000,1.000,0.81,0.98,0,0
11.78,0.000,-0.000,1.000,0.75,0.98,0,0
11.88,0.000,-0.000,1.000,0.68,0.98,0,0
11.98,0.000,-0.000,1.000,0.61,0.98,0,0
12.08,0.000,-0.000,1.000,0.54,0.98,0,0
12.18,0.000,-0.000,1.000,0.47,0.98,0,0
12.28,0.000,-0.000,1.000,0.40,0.98,0,0
12.38,0.000,-0.000,1.000,0.33,0.98,0,1
12.48,0.000,-0.000,1.000,0.26,0.98,0,1
12.58,0.000,-0.000,1.000,0.19,0.98,0,1
12.68,0.000,-0.000,1.000,0.12,0.98,0,1
12.78,0.000,-0.000,1.000,0.06,0.98,0,1
12.88,0.000,-0.000,1.000,0.00,0.98,0,1
12.98,0.000,-0.000,1.000,0.00,0.98,0,1
13.08,0.000,-0.000,1.000,0.00,0.98,0,1
13.18,0.000,-0.000,1.000,0.00,0.98,0,1
13.28,0.000,-0.000,1.000,0.00,0.98,0,1
13.38,0.000,-0.000,1.000,0.00,0.98,0,1
13.48,0.000,-0.000,1.000,0.00,0.98,0,1
13.58,0.000,-0.000,1.000,0.00,0.98,0,1
13.68,0.000,-0.000,1.000,0.00,0.98,0,1
13.78,0.000,-0.000,1.000,0.00,0.98,0,1
13.88,0.000,-0.000,1.000,0.00,0.98,0,1
13.98,0.000,-0.000,1.000,0.00,0.98,0,1
14.08,0.000,-0.000,1.000,0.00,0.98,0,1
14.18,0.000,-0.000,1.000,0.00,0.98,0,1
14.28,0.000,-0.000,1.000,0.00,0.98,0,1
14.38,0.000,-0.000,1.000,0.00,0.98,0,1
14.48,0.000,-0.000,1.000,0.00,0.98,0,1
14.58,0.000,-0.000,1.000,0.00,0.98,0,1
14.68,0.000,-0.000,1.000,0.00,0.98,0,1
14.78,0.000,-0.000,1.000,0.00,0.98,0,1
14.88,0.000,-0.000,1.000,0.00,0.98,0,1
14.98,0.000,-0.000,1.000,0.00,0.98,0,1
15.08,0.000,-0.000,1.000,0.00,0.98,0,1
15.18,0.000,-0.000,1.000,0.00,0.98,0,1
15.28,0.000,-0.000,1.000,0.00,0.98,0,1
15.38,0.000,-0.000,1.000,0.00,0.98,0,1
15.48,0.000,-0.000,1.000,0.06,0.98,0,1
15.58,0.000,-0.000,1.000,0.13,0.98,0,1
15.68,0.000,-0.000,1.000,0.20,0.98,0,1
15.78,0.000,-0.000,1.000,0.28,0.98,0,1
