time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.08,0.000,-0.000,0.019,0.46,0.00,0,0
0.21,0.000,0.000,0.019,0.44,0.00,0,0
0.31,0.000,-0.000,0.026,0.41,0.01,0,0
0.41,-0.000,-0.001,0.057,0.38,0.04,0,1
0.51,-0.001,-0.001,0.108,0.33,0.09,0,1
0.61,-0.002,-0.002,0.169,0.28,0.15,0,1
0.71,-0.002,-0.003,0.239,0.22,0.22,0,1
0.81,-0.003,-0.003,0.284,0.18,0.27,0,1
0.91,-0.003,-0.003,0.363,0.13,0.34,0,1
1.01,-0.003,-0.003,0.433,0.09,0.41,0,1
1.11,-0.003,-0.003,0.504,0.05,0.48,0,1
1.21,-0.003,-0.003,0.552,0.03,0.53,0,1
1.31,-0.002,-0.002,0.612,0.02,0.59,0,1
1.41,-0.002,-0.002,0.664,0.01,0.65,0,1
1.51,-0.002,-0.002,0.716,0.01,0.70,0,1
1.61,-0.002,-0.001,0.744,0.02,0.72,0,1
1.71,-0.001,-0.001,0.785,0.03,0.77,0,1
1.81,-0.001,-0.001,0.819,0.05,0.80,0,1
1.91,-0.001,-0.001,0.850,0.08,0.83,0,1
2.01,-0.001,-0.001,0.870,0.10,0.85,0,1
2.11,-0.001,-0.000,0.894,0.13,0.87,0,1
2.21,-0.001,-0.000,0.914,0.17,0.89,0,1
2.31,-0.000,-0.000,0.924,0.21,0.90,0,1
2.41,-0.000,-0.000,0.939,0.25,0.92,0,1
2.51,-0.000,0.000,0.952,0.29,0.93,0,1
2.61,-0.000,0.000,0.959,0.33,0.94,0,1
2.71,0.000,0.000,0.968,0.38,0.95,0,1
2.81,0.000,0.000,0.975,0.43,0.96,0,0
2.91,0.000,0.000,0.981,0.44,0.96,0,0
3.01,0.000,0.000,0.985,0.44,0.97,0,0
3.11,0.000,0.000,0.988,0.45,0.97,0,0
3.21,0.000,0.000,0.991,0.45,0.97,0,0
3.31,0.000,0.000,0.993,0.46,0.97,0,0
3.41,0.000,0.000,0.995,0.47,0.98,0,0
3.51,0.000,0.000,0.997,0.47,0.98,0,0
3.61,0.000,0.000,0.998,0.48,0.98,0,0
3.71,0.000,0.000,0.999,0.49,0.98,0,0
