time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.09,0.000,0.000,-1.714,15.31,0.45,0,0
0.20,0.000,0.000,-2.465,15.38,1.20,0,0
0.63,0.000,0.000,-2.984,999.00,1.72,0,0
0.67,0.000,0.000,-3.643,15.43,2.40,0,0
0.77,0.000,0.000,-3.515,15.35,2.53,0,0
0.87,0.000,0.000,-3.273,15.25,2.77,0,0
0.97,0.000,0.000,-3.077,15.17,2.97,0,0
1.07,0.000,0.000,-2.729,15.06,3.32,0,0
1.17,0.000,0.000,-2.363,14.94,3.68,0,0
1.27,0.000,0.000,-2.115,14.82,3.93,0,0
1.37,0.000,0.000,-1.752,14.71,4.29,0,0
1.47,0.000,0.000,-1.518,14.56,4.53,0,0
1.57,0.000,0.000,-1.171,14.45,4.87,0,0
1.67,0.000,0.000,-0.859,14.32,5.19,0,0
1.77,0.000,0.000,-0.674,14.20,5.37,0,0
1.87,0.000,0.000,-0.407,14.08,5.64,0,0
1.97,0.000,0.000,-0.241,13.97,5.80,0,0
2.07,0.000,0.000,-0.029,13.84,6.02,0,0
2.18,0.000,0.000,0.109,13.70,6.15,0,0
2.27,0.000,0.000,0.270,13.59,6.31,0,0
2.38,0.000,0.000,0.374,13.45,6.42,0,0
2.47,0.000,0.000,0.458,13.32,6.50,0,0
2.57,0.000,0.000,0.535,13.13,6.58,0,0
2.68,0.000,0.000,0.612,13.05,6.66,0,0
2.77,0.000,0.000,0.712,12.91,6.76,0,0
2.88,0.000,0.000,0.760,12.77,6.80,0,0
2.97,0.000,0.000,0.803,12.63,6.85,0,0
3.07,0.000,0.000,0.843,12.42,6.89,0,0
3.19,0.000,0.000,0.877,12.33,6.92,0,0
3.27,0.000,0.000,0.900,12.15,6.95,0,0
3.38,0.000,0.000,0.923,11.95,6.97,0,0
3.47,0.000,0.000,0.940,11.87,6.98,0,0
3.57,0.000,0.000,0.957,11.65,7.00,0,0
3.65,0.000,0.000,0.968,11.51,7.01,0,0
3.80,0.000,0.000,0.976,11.36,7.02,0,0
3.87,0.000,0.000,0.985,11.17,7.03,0,0
3.97,0.000,0.000,0.989,11.02,7.03,0,0
4.07,0.000,0.000,0.994,10.82,7.04,0,0
4.17,0.000,0.000,0.997,10.61,7.04,0,0
4.27,0.000,0.000,1.000,10.48,7.04,0,0
4.37,0.000,0.000,1.001,10.31,7.05,0,0
4.48,0.000,0.000,1.002,10.13,7.05,0,0
4.57,0.000,0.000,1.003,9.98,7.05,0,0
4.67,0.000,0.000,1.004,9.76,7.05,0,0
4.78,0.000,0.000,1.004,9.56,7.05,0,0
4.87,0.000,0.000,1.004,9.38,7.05,0,0
4.97,0.000,0.000,1.004,9.21,7.05,0,0
5.07,0.000,0.000,1.004,8.97,7.05,0,0
5.17,0.000,0.000,1.004,8.83,7.05,0,0
5.27,0.000,0.000,1.003,8.66,7.05,0,0
5.37,0.000,0.000,1.003,8.43,7.05,0,0
5.47,0.000,0.000,1.003,8.28,7.05,0,0
5.57,0.000,0.000,1.002,8.07,7.05,0,0
5.67,0.000,0.000,1.002,7.87,7.05,0,0
5.77,0.000,0.000,1.002,7.75,7.05,0,0
5.87,0.000,0.000,1.002,7.53,7.05,0,0
5.97,0.000,0.000,1.001,7.33,7.05,0,0
6.08,0.000,0.000,1.001,7.17,7.05,0,0
6.17,0.000,0.000,1.001,7.00,7.05,0,0
6.28,0.000,0.000,1.001,6.79,7.05,0,0
6.34,0.000,0.000,1.001,6.59,7.05,0,0
6.44,0.000,0.000,1.001,6.40,7.05,0,0
6.55,0.000,0.000,1.001,6.21,7.05,0,0
6.64,0.000,0.000,1.000,6.05,7.05,0,0
6.74,0.000,0.000,1.000,5.90,7.05,0,0
6.83,0.000,0.000,1.000,5.69,7.05,0,0
6.95,0.000,0.000,1.000,5.48,7.05,0,0
7.05,0.000,0.000,1.000,5.33,7.05,0,0
7.13,-0.000,0.000,1.000,5.19,7.05,0,0
7.24,-0.000,0.000,1.001,5.00,7.05,0,0
7.35,-0.006,0.003,1.002,4.85,7.06,0,0
7.47,-0.028,0.010,1.005,4.57,7.08,0,0
7.54,-0.075,0.022,1.009,4.41,7.13,0,0
7.64,-0.110,0.030,1.012,4.24,7.17,0,0
7.74,-0.182,0.042,1.017,3.99,7.24,0,0
7.85,-0.239,0.050,1.021,3.80,7.30,0,0
7.94,-0.336,0.058,1.027,3.55,7.40,0,0
8.09,-0.440,0.059,1.033,3.25,7.50,0,0
8.17,-0.521,0.059,1.036,3.09,7.58,0,0
8.24,-0.687,0.055,1.043,2.77,7.75,0,0
8.34,-0.758,0.053,1.046,2.58,7.82,0,0
8.44,-0.932,0.047,1.052,2.33,7.99,0,0
8.53,-1.020,0.045,1.054,2.12,8.08,0,0
8.65,-1.143,0.044,1.057,1.92,8.20,0,0
8.74,-1.336,0.044,1.061,1.66,8.40,0,0
8.85,-1.473,0.045,1.063,1.47,8.53,0,0
8.95,-1.602,0.046,1.064,1.32,8.66,0,0
9.04,-1.746,0.047,1.066,1.19,8.81,0,0
9.16,-1.917,0.050,1.067,1.09,8.98,0,0
9.26,-2.037,0.053,1.068,1.06,9.10,0,0
9.35,-2.127,0.056,1.068,1.06,9.19,0,0
9.45,-2.217,0.059,1.068,1.10,9.28,0,0
9.55,-2.325,0.064,1.067,1.16,9.39,0,0
9.65,-2.388,0.068,1.066,1.24,9.45,0,0
9.75,-2.436,0.072,1.065,1.33,9.50,0,0
9.86,-2.467,0.075,1.064,1.40,9.53,0,0
9.95,-2.489,0.078,1.062,1.32,9.55,0,0
10.07,-2.503,0.083,1.059,1.18,9.57,0,0
10.16,-2.499,0.086,1.057,1.12,9.57,0,0
10.25,-2.490,0.088,1.055,1.01,9.58,0,0
10.39,-2.467,0.091,1.052,0.95,9.61,0,0
10.48,-2.425,0.094,1.048,0.86,9.65,0,0
10.54,-2.405,0.095,1.047,0.81,9.67,0,0
10.63,-2.354,0.097,1.043,0.78,9.72,0,0
10.75,-2.299,0.098,1.039,0.74,9.77,0,0
10.86,-2.231,0.099,1.034,0.69,9.84,0,0
10.93,-2.187,0.099,1.031,0.65,9.89,0,0
11.07,-2.141,0.100,1.028,0.61,9.93,0,0
11.16,-2.057,0.099,1.022,0.59,10.02,0,0
11.27,-2.032,0.099,1.020,0.55,10.04,0,0
11.37,-1.955,0.098,1.014,0.54,10.12,0,0
11.47,-1.937,0.098,1.013,0.49,10.14,0,0
11.56,-1.874,0.096,1.008,0.46,10.20,0,0
11.65,-1.840,0.095,1.004,0.45,10.23,0,0
11.76,-1.797,0.093,1.000,0.42,10.28,0,0
11.86,-1.768,0.092,0.996,0.39,10.31,0,1
11.96,-1.748,0.091,0.994,0.37,10.33,0,1
12.06,-1.726,0.089,0.990,0.35,10.35,0,1
12.15,-1.715,0.088,0.988,0.33,10.36,0,1
12.25,-1.704,0.086,0.984,0.31,10.37,0,1
12.34,-1.701,0.085,0.982,0.30,10.38,0,1
12.45,-1.701,0.084,0.980,0.30,10.38,0,1
12.54,-1.707,0.083,0.977,0.30,10.39,0,1
12.64,-1.715,0.082,0.975,0.30,10.39,0,1
12.74,-1.727,0.081,0.973,0.32,10.41,0,1
12.84,-1.745,0.080,0.972,0.34,10.42,0,1
12.94,-1.750,0.080,0.971,0.35,10.43,0,1
13.05,-1.781,0.079,0.970,0.39,10.46,0,1
13.13,-1.797,0.079,0.969,0.41,10.48,0,0
13.24,-1.819,0.079,0.969,0.44,10.50,0,0
13.34,-1.833,0.079,0.968,0.47,10.51,0,0
13.44,-1.865,0.079,0.968,0.51,10.54,0,0
13.53,-1.883,0.079,0.969,0.54,10.56,0,0
13.64,-1.904,0.080,0.969,0.57,10.58,0,0
13.74,-1.921,0.080,0.970,0.60,10.60,0,0
13.84,-1.935,0.080,0.971,0.62,10.62,0,0
13.94,-1.949,0.081,0.972,0.65,10.63,0,0
14.04,-1.961,0.081,0.973,0.67,10.64,0,0
14.14,-1.973,0.082,0.974,0.69,10.65,0,0
14.25,-1.982,0.082,0.976,0.70,10.66,0,0
14.34,-1.991,0.083,0.978,0.71,10.67,0,0
14.44,-1.997,0.083,0.980,0.72,10.68,0,0
14.54,-2.000,0.084,0.982,0.72,10.68,0,0
14.64,-2.002,0.084,0.984,0.72,10.68,0,0
14.74,-2.002,0.085,0.986,0.71,10.69,0,0
14.84,-2.000,0.085,0.990,0.70,10.69,0,0
14.94,-1.999,0.085,0.991,0.69,10.69,0,0
15.04,-1.992,0.086,0.995,0.67,10.70,0,0
15.14,-1.987,0.086,0.997,0.65,10.71,0,0
15.24,-1.981,0.086,1.000,0.63,10.71,0,0
15.34,-1.972,0.086,1.003,0.60,10.72,0,0
15.44,-1.967,0.087,1.005,0.58,10.73,0,0
15.54,-1.958,0.087,1.008,0.56,10.74,0,0
15.64,-1.951,0.087,1.010,0.53,10.74,0,0
15.74,-1.943,0.087,1.013,0.50,10.75,0,0
15.83,-1.937,0.087,1.015,0.48,10.76,0,0
15.94,-1.929,0.086,1.017,0.45,10.77,0,0
16.04,-1.922,0.086,1.020,0.42,10.77,0,0
16.14,-1.914,0.086,1.023,0.40,10.78,0,0
16.24,-1.909,0.086,1.025,0.38,10.79,0,1
16.34,-1.903,0.086,1.027,0.37,10.79,0,1
16.45,-1.901,0.086,1.028,0.36,10.80,0,1
16.54,-1.897,0.085,1.031,0.35,10.80,0,1
16.64,-1.901,0.083,1.034,0.35,10.81,0,1
16.74,-1.918,0.079,1.036,0.36,10.83,0,1
16.85,-1.949,0.073,1.038,0.36,10.86,0,1
16.96,-2.009,0.065,1.041,0.37,10.92,0,1
17.08,-2.098,0.056,1.045,0.37,11.01,0,1
17.17,-2.134,0.054,1.046,0.38,11.04,0,1
17.26,-2.236,0.049,1.049,0.38,11.15,0,1
17.37,-2.336,0.045,1.052,0.39,11.25,0,1
17.47,-2.431,0.043,1.054,0.39,11.34,0,1
17.56,-2.589,0.040,1.057,0.38,11.50,0,1
17.67,-2.735,0.039,1.059,0.38,11.65,0,1
18.26,-2.895,0.039,1.062,0.38,11.81,0,1
18.34,-3.840,0.044,1.071,0.44,12.75,0,0
18.37,-4.016,0.046,1.072,0.47,12.93,0,0
18.61,-4.203,0.049,1.073,0.45,13.11,0,0
18.63,-4.360,0.051,1.075,0.49,13.27,0,0
18.67,-4.514,0.053,1.076,0.53,13.42,0,0
18.77,-4.590,0.055,1.077,0.51,13.50,0,0
18.87,-4.729,0.058,1.078,0.52,13.64,0,0
18.97,-4.785,0.059,1.078,0.49,13.70,0,0
19.08,-4.851,0.061,1.079,0.47,13.76,0,0
19.19,-4.945,0.064,1.080,0.46,13.86,0,0
19.27,-4.965,0.065,1.080,0.43,13.88,0,0
19.38,-4.987,0.067,1.081,0.41,13.90,0,0
19.46,-4.994,0.069,1.081,0.40,13.91,0,1
19.56,-4.985,0.070,1.081,0.41,13.91,0,0
19.66,-4.966,0.071,1.081,0.44,13.93,0,0
19.77,-4.926,0.072,1.081,0.49,13.97,0,0
19.87,-4.877,0.072,1.081,0.55,14.02,0,0
19.96,-4.819,0.073,1.080,0.69,14.08,0,0
20.07,-4.774,0.073,1.080,0.80,14.13,0,0
20.17,-4.702,0.073,1.079,0.97,14.20,0,0
20.30,-4.659,0.072,1.079,1.11,14.24,0,0
20.38,-4.573,0.072,1.077,1.28,14.33,0,0
20.48,-4.502,0.072,1.076,1.46,14.40,0,0
20.59,-4.423,0.071,1.075,1.66,14.48,0,0
20.69,-4.388,0.070,1.074,1.84,14.51,0,0
20.78,-4.303,0.069,1.072,2.05,14.60,0,0
20.88,-4.252,0.069,1.071,2.24,14.65,0,0
20.98,-4.199,0.068,1.070,2.21,14.70,0,0
21.06,-4.143,0.067,1.068,2.08,14.76,0,0
21.18,-4.117,0.066,1.067,2.00,14.78,0,0
21.26,-4.077,0.065,1.065,1.87,14.82,0,0
21.38,-4.045,0.064,1.063,1.75,14.85,0,0
21.47,-4.033,0.064,1.063,1.68,14.87,0,0
21.57,-4.010,0.063,1.060,1.56,14.89,0,0
21.66,-4.005,0.062,1.059,1.48,14.90,0,0
21.77,-4.000,0.062,1.058,1.39,14.90,0,0
21.86,-4.003,0.061,1.056,1.30,14.90,0,0
21.96,-4.008,0.061,1.055,1.22,14.91,0,0
22.07,-4.021,0.061,1.053,1.13,14.92,0,0
22.17,-4.035,0.060,1.052,1.06,14.94,0,0
22.27,-4.054,0.060,1.050,0.99,14.96,0,0
22.36,-4.081,0.060,1.049,0.92,14.98,0,0
22.47,-4.108,0.060,1.047,0.84,15.01,0,0
22.56,-4.129,0.060,1.046,0.79,15.03,0,0
22.66,-4.153,0.060,1.045,0.70,15.05,0,0
22.77,-4.177,0.061,1.044,0.64,15.08,0,0
22.87,-4.197,0.061,1.044,0.59,15.10,0,0
22.96,-4.221,0.061,1.043,0.54,15.12,0,0
23.07,-4.245,0.061,1.042,0.48,15.15,0,0
23.16,-4.272,0.062,1.041,0.42,15.17,0,0
23.27,-4.290,0.062,1.041,0.38,15.19,0,1
23.36,-4.313,0.062,1.040,0.34,15.21,0,1
23.47,-4.328,0.063,1.040,0.30,15.23,0,1
23.56,-4.336,0.063,1.039,0.28,15.24,0,1
23.66,-4.346,0.063,1.039,0.27,15.25,0,1
23.77,-4.357,0.063,1.039,0.27,15.26,0,1
23.87,-4.388,0.061,1.040,0.28,15.29,0,1
23.96,-4.438,0.058,1.041,0.29,15.34,0,1
24.07,-4.497,0.055,1.041,0.30,15.40,0,1
24.17,-4.576,0.052,1.042,0.31,15.48,0,1
24.27,-4.651,0.050,1.043,0.32,15.55,0,1
24.39,-4.735,0.049,1.045,0.35,15.64,0,1
24.48,-4.847,0.048,1.046,0.34,15.75,0,1
24.57,-4.960,0.048,1.050,0.33,15.86,0,1
24.67,-5.076,0.043,1.054,0.34,15.98,0,1
24.77,-5.205,0.028,1.057,0.34,16.11,0,1
24.88,-5.334,-0.003,1.068,0.34,16.24,0,1
24.98,-5.397,-0.033,1.079,0.38,16.31,0,1
25.08,-5.459,-0.078,1.096,0.45,16.39,0,0
25.16,-5.542,-0.159,1.125,0.50,16.51,0,0
25.28,-5.597,-0.213,1.144,0.57,16.59,0,0
25.37,-5.670,-0.264,1.167,0.62,16.68,0,0
25.46,-5.732,-0.289,1.181,0.66,16.75,0,0
25.56,-5.829,-0.306,1.200,0.69,16.85,0,0
25.67,-5.973,-0.309,1.222,0.70,17.00,0,0
25.77,-6.119,-0.299,1.243,0.72,17.14,0,0
25.87,-6.231,-0.284,1.258,0.73,17.26,0,0
25.97,-6.345,-0.259,1.272,0.75,17.38,0,0
26.06,-6.470,-0.220,1.286,0.78,17.51,0,0
26.16,-6.584,-0.174,1.297,0.80,17.63,0,0
26.27,-6.695,-0.121,1.308,0.84,17.75,0,0
26.36,-6.777,-0.075,1.315,0.91,17.85,0,0
26.46,-6.841,-0.033,1.320,0.97,17.93,0,0
26.57,-6.903,0.012,1.324,1.05,18.00,0,0
26.66,-6.975,0.074,1.328,1.11,18.10,0,0
26.76,-7.045,0.152,1.331,1.21,18.20,0,0
26.86,-7.075,0.195,1.332,1.32,18.25,0,0
26.96,-7.097,0.239,1.338,1.44,18.30,0,0
27.07,-7.106,0.264,1.345,1.55,18.33,0,0
27.17,-7.109,0.286,1.361,1.69,18.36,0,0
27.27,-7.102,0.289,1.377,1.81,18.38,0,0
27.37,-7.078,0.280,1.407,1.97,18.42,0,0
27.47,-7.054,0.268,1.432,2.09,18.45,0,0
27.58,-7.012,0.260,1.475,2.27,18.51,0,0
27.68,-6.979,0.272,1.513,2.44,18.57,0,0
27.77,-6.940,0.307,1.561,2.64,18.64,0,0
27.87,-6.917,0.332,1.590,2.78,18.68,0,0
27.98,-6.870,0.385,1.658,3.01,18.78,0,0
28.07,-6.849,0.409,1.705,3.17,18.84,0,0
28.18,-6.843,0.418,1.738,3.29,18.87,0,0
28.27,-6.849,0.422,1.801,3.44,18.94,0,0
28.37,-6.871,0.417,1.865,3.59,19.00,0,0
28.48,-6.906,0.400,1.928,3.73,19.08,0,0
28.56,-6.952,0.374,1.982,3.79,19.15,0,0
28.67,-7.008,0.343,2.029,3.88,19.23,0,0
28.76,-7.104,0.296,2.089,3.91,19.36,0,0
28.87,-7.183,0.260,2.128,3.95,19.45,0,0
28.96,-7.262,0.234,2.160,4.02,19.54,0,0
29.07,-7.361,0.219,2.190,4.05,19.64,0,0
29.17,-7.540,0.232,2.226,4.06,19.83,0,0
29.26,-7.656,0.256,2.242,4.08,19.95,0,0
29.37,-7.794,0.291,2.256,4.12,20.09,0,0
29.47,-7.931,0.323,2.267,4.13,20.23,0,0
29.57,-8.141,0.341,2.277,4.09,20.44,0,0
29.66,-8.275,0.332,2.279,3.88,20.58,0,0
29.77,-8.428,0.309,2.278,3.62,20.73,0,0
29.86,-8.565,0.284,2.277,3.39,20.87,0,0
29.97,-8.715,0.265,2.275,3.12,21.02,0,0
30.07,-8.872,0.263,2.272,2.91,21.18,0,0
30.18,-8.994,0.276,2.268,2.66,21.30,0,0
30.28,-9.173,0.304,2.262,2.44,21.48,0,0
30.37,-9.290,0.317,2.257,2.23,21.60,0,0
30.47,-9.425,0.321,2.249,2.07,21.74,0,0
30.57,-9.554,0.314,2.241,1.91,21.87,0,0
30.66,-9.713,0.298,2.229,1.80,22.03,0,0
30.77,-9.921,0.274,2.211,1.72,22.24,0,0
30.87,-9.994,0.268,2.205,1.69,22.31,0,0
30.96,-10.205,0.271,2.183,1.70,22.52,0,0
31.07,-10.339,0.289,2.166,1.74,22.66,0,0
31.17,-10.449,0.309,2.150,1.83,22.77,0,0
31.29,-10.570,0.334,2.130,1.94,22.90,0,0
31.36,-10.723,0.359,2.097,2.10,23.06,0,0
31.49,-10.827,0.360,2.069,2.25,23.16,0,0
31.57,-10.954,0.338,2.030,2.47,23.30,0,0
31.67,-11.051,0.308,1.996,2.63,23.41,0,0
31.76,-11.194,0.252,1.941,2.87,23.57,0,0
31.90,-11.295,0.213,1.898,3.14,23.68,0,0
31.96,-11.405,0.177,1.848,3.22,23.81,0,0
32.06,-11.524,0.148,1.790,3.02,23.95,0,0
32.17,-11.664,0.118,1.719,2.77,24.11,0,0
32.26,-11.703,0.110,1.697,2.65,24.15,0,0
32.36,-11.865,0.068,1.597,2.39,24.35,0,0
32.46,-11.929,0.047,1.552,2.22,24.43,0,0
32.56,-12.053,-0.005,1.450,1.97,24.60,0,0
32.66,-12.114,-0.035,1.390,1.81,24.69,0,0
32.76,-12.170,-0.062,1.328,1.63,24.78,0,0
32.87,-12.245,-0.096,1.241,1.45,24.90,0,0
32.97,-12.296,-0.116,1.183,1.27,24.97,0,0
33.06,-12.349,-0.133,1.121,1.12,25.06,0,0
33.16,-12.390,-0.147,1.065,0.96,25.13,0,0
33.26,-12.426,-0.160,1.009,0.82,25.20,0,0
33.36,-12.439,-0.165,0.986,0.71,25.22,0,0
33.47,-12.445,-0.169,0.970,0.62,25.24,0,0
33.56,-12.446,-0.171,0.963,0.55,25.25,0,0
33.67,-12.444,-0.172,0.962,0.47,25.25,0,0
33.77,-12.441,-0.174,0.969,0.42,25.26,0,0
33.86,-12.440,-0.174,0.975,0.37,25.26,0,1
33.96,-12.439,-0.174,0.984,0.35,25.27,0,1
34.07,-12.438,-0.174,0.994,0.33,25.28,0,1
34.17,-12.436,-0.173,1.004,0.33,25.29,0,1
34.26,-12.434,-0.171,1.014,0.36,25.30,0,1
34.37,-12.427,-0.168,1.030,0.40,25.32,0,1
34.46,-12.423,-0.165,1.037,0.44,25.33,0,0
34.56,-12.413,-0.161,1.049,0.50,25.35,0,0
34.66,-12.406,-0.158,1.057,0.56,25.36,0,0
34.76,-12.398,-0.155,1.064,0.64,25.37,0,0
34.86,-12.387,-0.150,1.074,0.73,25.38,0,0
34.96,-12.379,-0.147,1.080,0.83,25.39,0,0
35.06,-12.372,-0.144,1.085,0.91,25.40,0,0
35.17,-12.364,-0.141,1.091,1.02,25.41,0,0
35.27,-12.358,-0.138,1.096,1.14,25.42,0,0
35.36,-12.354,-0.136,1.099,1.23,25.43,0,0
35.48,-12.350,-0.134,1.103,1.34,25.43,0,0
35.56,-12.346,-0.132,1.106,1.48,25.44,0,0
35.66,-12.343,-0.131,1.108,1.61,25.44,0,0
35.76,-12.340,-0.130,1.111,1.74,25.45,0,0
