time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.08,-0.000,0.000,0.021,0.73,0.00,0,0
0.19,-0.000,-0.001,0.022,0.72,0.01,0,0
0.29,-0.002,-0.003,0.035,0.72,0.02,0,0
0.39,-0.004,-0.005,0.053,0.70,0.04,0,0
0.49,-0.009,-0.013,0.115,0.66,0.10,0,0
0.59,-0.014,-0.020,0.173,0.63,0.16,0,0
0.69,-0.018,-0.027,0.241,0.59,0.23,0,0
0.79,-0.022,-0.032,0.312,0.55,0.30,0,0
0.89,-0.025,-0.035,0.383,0.52,0.37,0,0
0.99,-0.026,-0.037,0.452,0.50,0.44,0,0
1.09,-0.026,-0.036,0.516,0.47,0.50,0,0
1.19,-0.024,-0.034,0.576,0.45,0.56,0,0
1.29,-0.022,-0.031,0.632,0.42,0.62,0,0
1.39,-0.020,-0.027,0.682,0.39,0.67,0,1
1.49,-0.018,-0.024,0.727,0.37,0.71,0,1
1.59,-0.015,-0.020,0.767,0.34,0.76,0,1
1.69,-0.013,-0.017,0.802,0.32,0.79,0,1
1.79,-0.012,-0.015,0.823,0.29,0.81,0,1
1.89,-0.010,-0.012,0.852,0.27,0.84,0,1
1.99,-0.008,-0.010,0.877,0.25,0.87,0,1
2.09,-0.007,-0.008,0.898,0.23,0.89,0,1
2.19,-0.005,-0.006,0.916,0.21,0.91,0,1
2.29,-0.004,-0.004,0.932,0.18,0.92,0,1
2.39,-0.003,-0.003,0.941,0.16,0.93,0,1
2.49,-0.002,-0.001,0.953,0.14,0.94,0,1
2.59,-0.001,0.000,0.962,0.12,0.95,0,1
2.69,0.000,0.002,0.970,0.11,0.96,0,1
2.80,0.001,0.003,0.977,0.09,0.97,0,1
2.89,0.002,0.004,0.982,0.08,0.97,0,1
2.99,0.002,0.004,0.985,0.07,0.98,0,1
3.09,0.003,0.004,0.989,0.06,0.98,0,1
3.19,0.003,0.005,0.992,0.05,0.98,0,1
3.29,0.003,0.005,0.994,0.05,0.98,0,1
3.39,0.003,0.005,0.996,0.05,0.99,0,1
3.49,0.003,0.004,0.997,0.05,0.99,0,1
3.59,0.003,0.004,0.998,0.06,0.99,0,1
3.69,0.003,0.004,0.999,0.07,0.99,0,1
3.79,0.003,0.004,1.000,0.09,0.99,0,1
3.89,0.002,0.003,1.000,0.11,0.99,0,1
3.99,0.002,0.003,1.000,0.13,0.99,0,1
4.09,0.002,0.003,1.001,0.15,0.99,0,1
4.19,0.002,0.002,1.001,0.18,0.99,0,1
4.29,0.001,0.002,1.001,0.22,0.99,0,1
4.39,0.001,0.002,1.001,0.25,0.99,0,1
4.49,0.001,0.001,1.001,0.29,0.99,0,1
4.59,0.001,0.001,1.001,0.33,0.99,0,1
4.69,0.000,0.001,1.001,0.38,0.99,0,1
4.79,0.000,0.001,1.001,0.42,0.99,0,0
4.89,0.000,0.000,1.001,0.44,0.99,0,0
4.99,0.000,0.000,1.001,0.44,1.00,0,0
5.09,-0.000,-0.000,1.001,0.45,1.00,0,0
5.18,-0.000,-0.000,1.001,0.45,1.00,0,0
5.28,-0.000,-0.000,1.000,0.46,1.00,0,0
5.38,-0.000,-0.000,1.000,0.46,1.00,0,0
5.48,-0.000,-0.000,1.000,0.47,1.00,0,0
5.58,-0.000,-0.000,1.000,0.48,1.00,0,0
5.68,-0.000,-0.000,1.000,0.49,1.00,0,0
5.78,-0.000,-0.000,1.000,0.50,1.00,0,0
5.88,-0.000,-0.000,1.000,0.51,1.00,0,0
5.98,-0.000,-0.000,1.000,0.51,1.00,0,0
6.08,-0.000,-0.000,1.000,0.53,1.00,0,0
6.18,-0.000,-0.000,1.000,0.54,1.00,0,0
6.28,-0.000,-0.000,1.000,0.55,1.00,0,0
6.38,-0.000,-0.000,1.000,0.56,1.00,0,0
6.48,-0.000,-0.000,1.000,0.57,1.00,0,0
6.58,-0.000,-0.000,1.000,0.58,1.00,0,0
6.68,-0.000,-0.000,1.000,0.60,1.00,0,0
