time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.07,-0.000,-0.000,0.019,0.73,0.00,0,0
0.21,-0.000,-0.000,0.019,0.72,0.00,0,0
0.31,-0.000,-0.001,0.021,0.71,0.00,0,0
0.41,-0.000,-0.003,0.047,0.68,0.03,0,0
0.51,-0.000,-0.005,0.093,0.65,0.08,0,0
0.61,-0.000,-0.006,0.153,0.61,0.14,0,0
0.70,-0.001,-0.007,0.221,0.56,0.20,0,0
0.81,-0.001,-0.007,0.291,0.52,0.27,0,0
0.91,-0.001,-0.007,0.358,0.48,0.34,0,0
1.00,-0.001,-0.006,0.417,0.45,0.40,0,0
1.10,-0.001,-0.005,0.484,0.41,0.47,0,0
1.21,-0.001,-0.005,0.547,0.37,0.53,0,1
1.31,-0.001,-0.004,0.610,0.34,0.59,0,1
1.41,-0.001,-0.004,0.649,0.31,0.63,0,1
1.51,-0.001,-0.003,0.702,0.28,0.68,0,1
1.61,-0.001,-0.003,0.749,0.26,0.73,0,1
1.71,-0.001,-0.002,0.778,0.24,0.76,0,1
1.81,-0.001,-0.002,0.814,0.22,0.80,0,1
1.91,-0.000,-0.002,0.844,0.20,0.83,0,1
2.01,-0.000,-0.001,0.871,0.18,0.85,0,1
2.11,-0.000,-0.001,0.887,0.16,0.87,0,1
2.21,-0.000,-0.001,0.909,0.14,0.89,0,1
2.31,-0.000,-0.000,0.927,0.13,0.91,0,1
2.41,-0.000,-0.000,0.938,0.11,0.92,0,1
2.51,-0.000,0.000,0.950,0.10,0.93,0,1
2.61,-0.000,0.000,0.960,0.08,0.94,0,1
2.71,0.000,0.001,0.969,0.07,0.95,0,1
2.81,0.000,0.001,0.974,0.06,0.96,0,1
2.91,0.000,0.001,0.980,0.06,0.96,0,1
3.01,0.000,0.001,0.985,0.05,0.97,0,1
3.10,0.000,0.001,0.987,0.05,0.97,0,1
3.21,0.000,0.001,0.991,0.05,0.97,0,1
3.31,0.000,0.001,0.994,0.06,0.98,0,1
3.41,0.000,0.001,0.995,0.06,0.98,0,1
3.51,0.000,0.001,0.997,0.08,0.98,0,1
3.60,0.000,0.001,0.998,0.10,0.98,0,1
3.71,0.000,0.000,0.999,0.11,0.98,0,1
3.81,0.000,0.000,0.999,0.14,0.98,0,1
3.91,0.000,0.000,1.000,0.16,0.98,0,1
4.01,0.000,0.000,1.000,0.19,0.98,0,1
4.11,0.000,0.000,1.001,0.23,0.98,0,1
4.21,0.000,0.000,1.001,0.27,0.98,0,1
4.30,0.000,0.000,1.001,0.30,0.98,0,1
4.41,0.000,0.000,1.001,0.34,0.98,0,1
4.50,0.000,0.000,1.001,0.39,0.98,0,1
4.61,0.000,-0.000,1.001,0.43,0.98,0,0
4.68,-0.000,-0.000,1.001,0.44,0.98,0,0
4.81,-0.000,-0.000,1.001,0.44,0.98,0,0
4.91,-0.000,-0.000,1.001,0.45,0.98,0,0
5.01,-0.000,-0.000,1.001,0.45,0.98,0,0
5.11,-0.000,-0.000,1.001,0.46,0.98,0,0
5.19,-0.000,-0.000,1.001,0.47,0.98,0,0
5.29,-0.000,-0.000,1.000,0.48,0.98,0,0
5.37,-0.000,-0.000,1.000,0.48,0.98,0,0
5.47,-0.000,-0.000,1.000,0.49,0.98,0,0
