time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.08,-0.000,-0.000,0.020,0.73,0.01,0,0
0.18,-0.000,-0.000,0.019,0.73,0.01,0,0
0.29,-0.001,-0.001,0.023,0.72,0.01,0,0
0.39,-0.002,-0.004,0.037,0.71,0.03,0,0
0.49,-0.004,-0.008,0.059,0.70,0.05,0,0
0.59,-0.009,-0.016,0.115,0.66,0.11,0,0
0.69,-0.012,-0.023,0.165,0.63,0.16,0,0
0.79,-0.016,-0.031,0.236,0.59,0.23,0,0
0.89,-0.020,-0.038,0.319,0.55,0.31,0,0
0.99,-0.021,-0.041,0.367,0.52,0.36,0,0
1.09,-0.022,-0.042,0.443,0.49,0.44,0,0
1.19,-0.022,-0.042,0.515,0.47,0.51,0,0
1.29,-0.021,-0.039,0.575,0.45,0.57,0,0
1.39,-0.019,-0.037,0.615,0.42,0.61,0,0
1.49,-0.017,-0.032,0.677,0.39,0.67,0,1
1.59,-0.016,-0.028,0.712,0.37,0.71,0,1
1.69,-0.014,-0.024,0.756,0.34,0.75,0,1
1.79,-0.012,-0.021,0.785,0.31,0.78,0,1
1.89,-0.010,-0.017,0.824,0.29,0.82,0,1
1.99,-0.008,-0.014,0.857,0.27,0.85,0,1
2.09,-0.007,-0.012,0.875,0.24,0.87,0,1
2.19,-0.006,-0.009,0.900,0.22,0.89,0,1
2.29,-0.005,-0.008,0.912,0.20,0.91,0,1
2.39,-0.004,-0.005,0.931,0.18,0.93,0,1
2.50,-0.002,-0.003,0.945,0.16,0.94,0,1
2.59,-0.001,-0.001,0.955,0.14,0.95,0,1
2.69,-0.001,0.000,0.962,0.12,0.96,0,1
2.79,0.000,0.002,0.970,0.10,0.97,0,1
2.89,0.001,0.003,0.977,0.09,0.97,0,1
2.99,0.001,0.004,0.981,0.08,0.98,0,1
3.09,0.002,0.004,0.985,0.07,0.98,0,1
3.20,0.002,0.005,0.989,0.06,0.99,0,1
3.29,0.002,0.005,0.992,0.05,0.99,0,1
3.39,0.003,0.005,0.994,0.05,0.99,0,1
3.49,0.003,0.005,0.996,0.05,0.99,0,1
3.59,0.003,0.005,0.997,0.06,0.99,0,1
3.69,0.002,0.004,0.998,0.06,1.00,0,1
3.79,0.002,0.004,0.999,0.08,1.00,0,1
3.89,0.002,0.004,1.000,0.09,1.00,0,1
3.99,0.002,0.003,1.000,0.11,1.00,0,1
4.09,0.002,0.003,1.000,0.14,1.00,0,1
