time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.18,0.000,0.000,0.973,999.00,0.08,0,0
0.20,0.000,0.000,0.980,999.00,0.08,0,0
0.30,0.000,0.000,0.989,999.00,0.09,0,0
0.40,0.000,0.000,0.992,999.00,0.10,0,0
0.50,0.000,0.000,0.995,999.00,0.10,0,0
0.60,0.000,0.000,0.999,999.00,0.10,0,0
0.70,0.000,0.000,1.001,999.00,0.11,0,0
0.80,0.000,0.000,1.002,999.00,0.11,0,0
0.90,0.000,0.000,1.003,999.00,0.11,0,0
1.00,0.000,0.000,1.003,999.00,0.11,0,0
1.10,0.000,0.000,1.004,999.00,0.11,0,0
1.20,0.000,0.000,1.004,999.00,0.11,0,0
1.30,0.000,0.000,1.004,999.00,0.11,0,0
1.40,0.000,0.000,1.004,999.00,0.11,0,0
1.50,0.000,0.000,1.004,999.00,0.11,0,0
1.60,0.000,0.000,1.003,999.00,0.11,0,0
1.70,0.000,0.000,1.003,999.00,0.11,0,0
1.80,0.000,0.000,1.003,999.00,0.11,0,0
1.90,0.000,0.000,1.002,999.00,0.11,0,0
2.00,0.000,0.000,1.002,999.00,0.11,0,0
2.10,0.000,0.000,1.002,999.00,0.11,0,0
2.21,0.000,0.000,1.002,999.00,0.11,0,0
2.30,0.000,0.000,1.002,999.00,0.11,0,0
2.40,0.000,0.000,1.001,999.00,0.11,0,0
2.50,0.000,0.000,1.001,999.00,0.11,0,0
2.60,0.000,0.000,1.001,999.00,0.11,0,0
2.70,0.000,0.000,1.001,999.00,0.11,0,0
2.80,0.000,0.000,1.001,999.00,0.11,0,0
2.90,0.000,0.000,1.001,999.00,0.11,0,0
3.00,0.000,0.000,1.000,999.00,0.11,0,0
3.10,0.000,0.000,1.000,999.00,0.11,0,0
3.20,0.000,0.000,1.000,999.00,0.11,0,0
3.30,0.000,0.000,1.000,999.00,0.11,0,0
3.40,0.000,0.000,1.000,999.00,0.11,0,0
3.50,-0.000,0.000,1.000,999.00,0.11,0,0
3.60,-0.002,0.001,1.001,999.00,0.12,0,0
3.70,-0.013,0.005,1.004,999.00,0.13,0,0
3.80,-0.040,0.013,1.006,999.00,0.16,0,0
3.90,-0.112,0.029,1.012,999.00,0.23,0,0
4.00,-0.167,0.038,1.016,999.00,0.29,0,0
4.10,-0.224,0.045,1.020,999.00,0.34,0,0
4.20,-0.288,0.051,1.025,999.00,0.41,0,0
4.30,-0.385,0.055,1.031,999.00,0.50,0,0
4.40,-0.541,0.056,1.039,999.00,0.66,0,0
4.50,-0.640,0.055,1.043,999.00,0.76,0,0
4.60,-0.764,0.054,1.048,999.00,0.88,0,0
4.70,-0.889,0.052,1.052,999.00,1.01,0,0
4.80,-0.987,0.051,1.055,999.00,1.11,0,0
4.90,-1.119,0.050,1.058,999.00,1.24,0,0
5.00,-1.272,0.050,1.062,999.00,1.39,0,0
5.10,-1.450,0.051,1.064,999.00,1.57,0,0
5.20,-1.597,0.051,1.066,999.00,1.72,0,0
5.30,-1.740,0.050,1.067,999.00,1.86,0,0
5.40,-1.899,0.050,1.068,999.00,2.02,0,0
5.50,-2.084,0.050,1.068,999.00,2.20,0,0
5.60,-2.192,0.050,1.067,999.00,2.31,0,0
5.70,-2.337,0.050,1.065,999.00,2.46,0,0
5.80,-2.458,0.050,1.064,999.00,2.58,0,0
5.90,-2.627,0.050,1.066,999.00,2.75,0,0
6.00,-2.769,0.052,1.073,999.00,2.89,0,0
6.10,-2.891,0.055,1.079,999.00,3.01,0,0
6.20,-3.054,0.060,1.088,999.00,3.17,0,0
6.30,-3.233,0.064,1.104,999.00,3.36,0,0
6.40,-3.354,0.072,1.122,999.00,3.48,0,0
6.50,-3.467,0.094,1.143,999.00,3.59,0,0
6.60,-3.565,0.128,1.158,999.00,3.70,0,0
6.70,-3.661,0.169,1.174,999.00,3.81,0,0
