time,uav_x,uav_y,uav_z,dist_min,path_length,infeasible_flag,collision_flag
0.06,0.000,0.000,-1.192,999.00,0.19,0,0
0.16,0.000,0.000,-1.781,999.00,0.78,0,0
0.26,0.000,0.000,-2.216,999.00,1.22,0,0
0.35,0.000,0.000,-2.643,999.00,1.64,0,0
0.45,0.000,0.000,-2.787,999.00,1.79,0,0
0.55,0.000,0.000,-2.837,999.00,1.84,0,0
0.65,0.000,0.000,-2.797,999.00,1.88,0,0
0.76,0.000,0.000,-2.655,999.00,2.02,0,0
0.85,0.000,0.000,-2.483,999.00,2.19,0,0
0.95,0.000,0.000,-2.219,999.00,2.46,0,0
1.06,0.000,0.000,-2.016,999.00,2.66,0,0
1.15,0.000,0.000,-1.714,999.00,2.96,0,0
1.25,0.000,0.000,-1.519,999.00,3.16,0,0
1.35,0.000,0.000,-1.220,999.00,3.46,0,0
1.45,0.000,0.000,-0.938,999.00,3.74,0,0
1.56,0.000,0.000,-0.682,999.00,3.99,0,0
1.66,0.000,0.000,-0.488,999.00,4.19,0,0
1.75,0.000,0.000,-0.337,999.00,4.34,0,0
1.85,0.000,0.000,-0.107,999.00,4.57,0,0
1.96,0.000,0.000,0.025,999.00,4.70,0,0
2.06,0.000,0.000,0.157,999.00,4.83,0,0
2.16,0.000,0.000,0.276,999.00,4.95,0,0
2.26,0.000,0.000,0.380,999.00,5.06,0,0
2.35,0.000,0.000,0.515,999.00,5.19,0,0
2.46,0.000,0.000,0.574,999.00,5.25,0,0
2.56,0.000,0.000,0.673,999.00,5.35,0,0
2.65,0.000,0.000,0.718,999.00,5.39,0,0
2.76,0.000,0.000,0.762,999.00,5.44,0,0
2.86,0.000,0.000,0.801,999.00,5.48,0,0
2.96,0.000,0.000,0.851,999.00,5.53,0,0
3.06,0.000,0.000,0.878,999.00,5.55,0,0
3.15,0.000,0.000,0.900,999.00,5.58,0,0
3.26,0.000,0.000,0.926,999.00,5.60,0,0
3.36,0.000,0.000,0.941,999.00,5.62,0,0
3.46,0.000,0.000,0.954,999.00,5.63,0,0
3.56,0.000,0.000,0.964,999.00,5.64,0,0
3.65,0.000,0.000,0.973,999.00,5.65,0,0
3.76,0.000,0.000,0.982,999.00,5.66,0,0
3.85,0.000,0.000,0.987,999.00,5.66,0,0
3.95,0.000,0.000,0.993,999.00,5.67,0,0
4.06,0.000,0.000,0.996,999.00,5.67,0,0
4.16,0.000,0.000,0.998,999.00,5.67,0,0
4.26,0.000,0.000,1.000,999.00,5.68,0,0
4.36,0.000,0.000,1.001,999.00,5.68,0,0
4.46,0.000,0.000,1.002,999.00,5.68,0,0
4.55,0.000,0.000,1.003,999.00,5.68,0,0
4.65,0.000,0.000,1.003,999.00,5.68,0,0
4.75,0.000,0.000,1.003,999.00,5.68,0,0
